deltaX,deltaY,WHEN,SYLLABLE,XofButton,YofButton,XofTrace,YofTrace
-1,-1,0.0136591,Yield,0,0,-1,1
-1,-2,0.0136882,Yield,0,0,-2,3
-1,-2,0.0137114,Yield,0,0,-3,5
-1,-2,0.0137462,Yield,0,0,-4,7
-1,-3,0.0137752,Yield,0,0,-5,10
-2,-2,0.0138101,Yield,0,0,-7,12
-1,-2,0.0138449,Yield,0,0,-8,14
-1,2,0.0139029,Yield,0,0,-9,12
-2,2,0.0139436,Yield,0,0,-11,10
-2,4,0.0139784,Yield,0,0,-13,6
-5,2,0.0140074,Yield,0,0,-18,4
-4,5,0.0140423,Yield,0,0,-22,-1
-8,2,0.0140887,Yield,0,0,-30,-3
-3,6,0.0141293,Yield,0,0,-33,-9
-8,3,0.0141635,Yield,0,0,-41,-12
-4,3,0.0141874,Yield,0,0,-45,-15
-3,4,0.0142164,Yield,0,0,-48,-19
-8,2,0.0142454,Yield,0,0,-56,-21
-4,2,0.0142629,Yield,0,0,-60,-23
-3,2,0.0143035,Yield,0,0,-63,-25
-4,2,0.0143267,Yield,0,0,-67,-27
-4,3,0.0143383,Yield,0,0,-71,-30
-4,2,0.0143615,Yield,0,0,-75,-32
-3,3,0.0143848,Yield,0,0,-78,-35
-4,3,0.014408,Yield,0,0,-82,-38
-4,3,0.0144312,Yield,0,0,-86,-41
-4,3,0.0144602,Yield,0,0,-90,-44
-3,2,0.0144718,Yield,0,0,-93,-46
-4,3,0.0145009,Yield,0,0,-97,-49
-4,3,0.0145241,Yield,0,0,-101,-52
-4,3,0.0145473,Yield,0,0,-105,-55
-2,3,0.0145879,Yield,0,0,-107,-58
-3,3,0.0146112,Yield,0,0,-110,-61
-2,2,0.0146228,Yield,0,0,-112,-63
-1,3,0.014646,Yield,0,0,-113,-66
-1,4,0.014675,Yield,0,0,-114,-70
1,3,0.014704,Yield,0,0,-113,-73
2,5,0.0147505,Yield,0,0,-111,-78
4,3,0.0147795,Yield,0,0,-107,-81
1,2,0.0147969,Yield,0,0,-106,-83
3,2,0.0148259,Yield,0,0,-103,-85
2,1,0.0148608,Yield,0,0,-101,-86
2,-1,0.0149014,Yield,0,0,-99,-85
1,-1,0.0149246,Yield,0,0,-98,-84
1,-2,0.0149478,Yield,0,0,-97,-82
-1,-1,0.0149827,Yield,0,0,-98,-81
-2,-2,0.0150117,Yield,0,0,-100,-79
-3,-2,0.0150465,Yield,0,0,-103,-77
-3,-3,0.0150523,Yield,0,0,-106,-74
-2,-3,0.0150756,Yield,0,0,-108,-71
-4,-3,0.0151104,Yield,0,0,-112,-68
-4,-2,0.0151336,Yield,0,0,-116,-66
-4,-3,0.0151626,Yield,0,0,-120,-63
-3,-3,0.0151626,Yield,0,0,-123,-60
-4,-3,0.0151975,Yield,0,0,-127,-57
-4,-3,0.0152207,Yield,0,0,-131,-54
-4,-2,0.0152497,Yield,0,0,-135,-52
-3,-3,0.0152845,Yield,0,0,-138,-49
-1,-3,0.015294,Yield,0,0,-139,-46
-2,-3,0.0153136,Yield,0,0,-141,-43
-1,-3,0.0153484,Yield,0,0,-142,-40
-1,-3,0.0153716,Yield,0,0,-143,-37
-1,-2,0.0154006,Yield,0,0,-144,-35
-1,-3,0.0154355,Yield,0,0,-145,-32
-1,-3,0.0154471,Yield,0,0,-146,-29
-1,-3,0.0154645,Yield,0,0,-147,-26
-2,-3,0.0154993,Yield,0,0,-149,-23
-2,-2,0.01554,Yield,0,0,-151,-21
-3,-3,0.0155574,Yield,0,0,-154,-18
-2,-3,0.0155864,Yield,0,0,-156,-15
-3,-3,0.0156038,Yield,0,0,-159,-12
-4,-3,0.0156183,Yield,0,0,-163,-9
-3,-2,0.0156488,Yield,0,0,-166,-7
-3,-2,0.0156851,Yield,0,0,-169,-5
-2,-2,0.0157141,Yield,0,0,-171,-3
-2,-1,0.0157141,Yield,0,0,-173,-2
-1,-1,0.0157431,Yield,0,0,-174,-1
1,1,0.0157896,Yield,0,0,-173,-2
2,1,0.0158186,Yield,0,0,-171,-3
2,1,0.0158476,Yield,0,0,-169,-4
3,1,0.0158592,Yield,0,0,-166,-5
3,1,0.0158824,Yield,0,0,-163,-6
2,1,0.0159231,Yield,0,0,-161,-7
3,1,0.0159405,Yield,0,0,-158,-8
3,1,0.0160044,Yield,0,0,-155,-9
3,1,0.016016,Yield,0,0,-152,-10
3,-1,0.0160972,Yield,0,0,-149,-9
3,-1,0.016103,Yield,0,0,-146,-8
3,-1,0.0161553,Yield,0,0,-143,-7
2,-2,0.0161611,Yield,0,0,-141,-5
1,-2,0.0161843,Yield,0,0,-140,-3
1,-2,0.0162191,Yield,0,0,-139,-1
-1,-2,0.0162482,Yield,0,0,-140,1
-1,-2,0.0162584,Yield,0,0,-141,3
-2,-2,0.0162888,Yield,0,0,-143,5
-2,-2,0.0163236,Yield,0,0,-145,7
-2,-1,0.0163352,Yield,0,0,-147,8
-2,-2,0.0163701,Yield,0,0,-149,10
-1,-1,0.0164049,Yield,0,0,-150,11
-1,-1,0.0164165,Yield,0,0,-151,12
-1,-1,0.0164455,Yield,0,0,-152,13
1,2,0.0227556,FRAY 1,87,416,-151,11
1,2,0.0227846,FRAY 1,87,416,-150,9
1,2,0.022802,FRAY 1,87,416,-149,7
1,3,0.022831,FRAY 1,87,416,-148,4
1,3,0.0228542,FRAY 1,87,416,-147,1
1,4,0.0228833,FRAY 1,87,416,-146,-3
1,4,0.0229123,FRAY 1,87,416,-145,-7
