deltaX,deltaY,WHEN,SYLLABLE,XofButton,YofButton,XofTrace,YofTrace
-4,-1,0.0297729,Yield,0,0,-4,1
-7,-1,0.0298028,Yield,0,0,-11,2
-4,-1,0.0298318,Yield,0,0,-15,3
-4,-1,0.0298573,Yield,0,0,-19,4
-3,-1,0.0298841,Yield,0,0,-22,5
-4,-1,0.0299073,Yield,0,0,-26,6
-4,-1,0.0299305,Yield,0,0,-30,7
-4,-1,0.0299421,Yield,0,0,-34,8
-3,-1,0.029977,Yield,0,0,-37,9
-1,-1,0.0408555,FRAY 1,87,416,-38,10
-2,-1,0.0408787,FRAY 1,87,416,-40,11
-2,-2,0.0409194,FRAY 1,87,416,-42,13
-3,-3,0.0409542,FRAY 1,87,416,-45,16
-5,-2,0.0409658,FRAY 1,87,416,-50,18
-3,-2,0.040992,FRAY 1,87,416,-53,20
-3,-1,0.0410239,FRAY 1,87,416,-56,21
-3,-1,0.0410529,FRAY 1,87,416,-59,22
-3,1,0.0410935,FRAY 1,87,416,-62,21
-3,2,0.0411167,FRAY 1,87,416,-65,19
-1,2,0.04114,FRAY 1,87,416,-66,17
-1,3,0.0411748,FRAY 1,87,416,-67,14
1,2,0.041198,FRAY 1,87,416,-66,12
1,4,0.0412326,FRAY 1,87,416,-65,8
1,4,0.0412386,FRAY 1,87,416,-64,4
2,4,0.0412725,FRAY 1,87,416,-62,0
2,3,0.0412936,FRAY 1,87,416,-60,-3
2,4,0.0413182,FRAY 1,87,416,-58,-7
2,4,0.0413547,FRAY 1,87,416,-56,-11
2,4,0.0413663,FRAY 1,87,416,-54,-15
3,3,0.0413896,FRAY 1,87,416,-51,-18
2,4,0.0414128,FRAY 1,87,416,-49,-22
3,4,0.0414476,FRAY 1,87,416,-46,-26
3,4,0.0414883,FRAY 1,87,416,-43,-30
3,7,0.0415231,FRAY 1,87,416,-40,-37
5,4,0.0415521,FRAY 1,87,416,-35,-41
3,3,0.0415637,FRAY 1,87,416,-32,-44
3,3,0.0415985,FRAY 1,87,416,-29,-47
2,1,0.0416276,FRAY 1,87,416,-27,-48
1,2,0.0416624,FRAY 1,87,416,-26,-50
1,2,0.0416682,FRAY 1,87,416,-25,-52
-1,2,0.0416914,FRAY 1,87,416,-26,-54
-2,3,0.0417263,FRAY 1,87,416,-28,-57
-3,3,0.0417495,FRAY 1,87,416,-31,-60
-3,2,0.0417669,FRAY 1,87,416,-34,-62
-3,4,0.0417901,FRAY 1,87,416,-37,-66
-4,4,0.0418249,FRAY 1,87,416,-41,-70
-4,4,0.0418598,FRAY 1,87,416,-45,-74
-4,3,0.041883,FRAY 1,87,416,-49,-77
-3,7,0.0419178,FRAY 1,87,416,-52,-84
-5,2,0.0419585,FRAY 1,87,416,-57,-86
-1,1,0.0419817,FRAY 1,87,416,-58,-87
-1,-1,0.0420281,FRAY 1,87,416,-59,-86
1,-2,0.0420455,FRAY 1,87,416,-58,-84
1,-1,0.0420688,FRAY 1,87,416,-57,-83
1,-2,0.0421036,FRAY 1,87,416,-56,-81
1,-3,0.0421326,FRAY 1,87,416,-55,-78
1,-3,0.0421616,FRAY 1,87,416,-54,-75
1,-6,0.0421907,FRAY 1,87,416,-53,-69
2,-2,0.0422139,FRAY 1,87,416,-51,-67
1,-2,0.0422452,FRAY 1,87,416,-50,-65
1,-1,0.0422719,FRAY 1,87,416,-49,-64
1,-1,0.0423126,FRAY 1,87,416,-48,-63
1,1,0.0426474,FRAY 1,87,416,-47,-64
1,1,0.0426841,FRAY 1,87,416,-46,-65
1,2,0.0427015,FRAY 1,87,416,-45,-67
1,1,0.0427189,FRAY 1,87,416,-44,-68
1,3,0.0427247,FRAY 1,87,416,-43,-71
1,3,0.0427595,FRAY 1,87,416,-42,-74
1,3,0.0428002,FRAY 1,87,416,-41,-77
1,6,0.0428234,FRAY 1,87,416,-40,-83
2,7,0.042864,FRAY 1,87,416,-38,-90
4,4,0.0428873,FRAY 1,87,416,-34,-94
1,4,0.0429279,FRAY 1,87,416,-33,-98
3,3,0.0429453,FRAY 1,87,416,-30,-101
3,4,0.0429743,FRAY 1,87,416,-27,-105
3,4,0.0429917,FRAY 1,87,416,-24,-109
3,3,0.043015,FRAY 1,87,416,-21,-112
3,2,0.0430382,FRAY 1,87,416,-18,-114
2,4,0.0430846,FRAY 1,87,416,-16,-118
3,4,0.0431137,FRAY 1,87,416,-13,-122
3,4,0.0431369,FRAY 1,87,416,-10,-126
3,3,0.0431427,FRAY 1,87,416,-7,-129
3,4,0.0431659,FRAY 1,87,416,-4,-133
2,4,0.0431891,FRAY 1,87,416,-2,-137
3,4,0.0432239,FRAY 1,87,416,1,-141
3,3,0.0432646,FRAY 1,87,416,4,-144
3,8,0.0432936,FRAY 1,87,416,7,-152
5,4,0.0433284,FRAY 1,87,416,12,-156
3,3,0.0433459,FRAY 1,87,416,15,-159
3,4,0.0433865,FRAY 1,87,416,18,-163
3,4,0.0434097,FRAY 1,87,416,21,-167
3,4,0.043446,FRAY 1,87,416,24,-171
3,3,0.0434561,FRAY 1,87,416,27,-174
2,4,0.0434736,FRAY 1,87,416,29,-178
3,4,0.0434968,FRAY 1,87,416,32,-182
3,4,0.0435258,FRAY 1,87,416,35,-186
3,3,0.0435606,FRAY 1,87,416,38,-189
3,4,0.0435664,FRAY 1,87,416,41,-193
2,4,0.0436013,FRAY 1,87,416,43,-197
3,4,0.0436245,FRAY 1,87,416,46,-201
3,3,0.0436535,FRAY 1,87,416,49,-204
3,4,0.0436825,FRAY 1,87,416,52,-208
3,4,0.0437,FRAY 1,87,416,55,-212
