dX,dY,WHEN,SYLLABLE,X,Y,cX,cY
0,-1,0.0358864,Yield,0,0,0,1
0,-1,0.0359503,Yield,0,0,0,2
-1,-1,0.0359677,Yield,0,0,-1,3
-1,-1,0.0360253,Yield,0,0,-2,4
-1,-1,0.0360548,Yield,0,0,-3,5
-1,-1,0.0360896,Yield,0,0,-4,6
-1,-1,0.0362057,Yield,0,0,-5,7
-1,-1,0.0362289,Yield,0,0,-6,8
-1,-1,0.0362405,Yield,0,0,-7,9
-3,-1,0.0363044,Yield,0,0,-10,10
-3,-1,0.0363334,Yield,0,0,-13,11
-3,-2,0.0363683,Yield,0,0,-16,13
-5,-1,0.0363915,Yield,0,0,-21,14
-3,-1,0.0364216,Yield,0,0,-24,15
-3,-1,0.0364553,Yield,0,0,-27,16
-3,-1,0.0364785,Yield,0,0,-30,17
-3,-2,0.036496,Yield,0,0,-33,19
-2,-2,0.036525,Yield,0,0,-35,21
-3,-2,0.0365366,Yield,0,0,-38,23
-3,-1,0.0365563,Yield,0,0,-41,24
-3,-2,0.0366005,Yield,0,0,-44,26
-3,-1,0.0366295,Yield,0,0,-47,27
-1,-1,0.0366585,Yield,0,0,-48,28
-1,-1,0.0377673,Yield,0,0,-49,29
-1,-1,0.0377905,Yield,0,0,-50,30
-1,-1,0.0378195,Yield,0,0,-51,31
-2,-1,0.0378659,Yield,0,0,-53,32
-2,-4,0.037895,Yield,0,0,-55,36
-4,-1,0.037924,Yield,0,0,-59,37
-1,2,0.0380111,Yield,0,0,-60,35
-1,2,0.0380459,Yield,0,0,-61,33
-1,2,0.0380807,Yield,0,0,-62,31
-1,3,0.0381098,Yield,0,0,-63,28
-2,5,0.0381446,Yield,0,0,-65,23
-5,3,0.0381736,Yield,0,0,-70,20
-3,3,0.0382142,Yield,0,0,-73,17
-3,3,0.0382433,Yield,0,0,-76,14
-4,5,0.0382781,Yield,0,0,-80,9
-7,3,0.0383129,Yield,0,0,-87,6
-3,2,0.0383303,Yield,0,0,-90,4
-2,2,0.0383478,Yield,0,0,-92,2
-2,2,0.0383826,Yield,0,0,-94,0
-2,2,0.0384058,Yield,0,0,-96,-2
-2,1,0.0384464,Yield,0,0,-98,-3
-1,1,0.0384755,Yield,0,0,-99,-4
-1,1,0.0385161,Yield,0,0,-100,-5
-1,1,0.0385451,Yield,0,0,-101,-6
-1,1,0.0385567,Yield,0,0,-102,-7
-1,1,0.0385974,Yield,0,0,-103,-8
-1,1,0.0386206,Yield,0,0,-104,-9
-1,1,0.0386612,Yield,0,0,-105,-10
-1,1,0.0386961,Yield,0,0,-106,-11
