dX,dY,WHEN,SYLLABLE,X,Y,cX,cY
2,1,0.0461555,Yield,0,0,2,-1
4,1,0.0461903,Yield,0,0,6,-2
3,1,0.0462077,Yield,0,0,9,-3
3,2,0.0462658,Yield,0,0,12,-5
3,4,0.0463064,Yield,0,0,15,-9
5,2,0.0463354,Yield,0,0,20,-11
3,2,0.0463702,Yield,0,0,23,-13
3,2,0.0464004,Yield,0,0,26,-15
3,3,0.0464399,Yield,0,0,29,-18
5,2,0.0464747,Yield,0,0,34,-20
3,2,0.0465096,Yield,0,0,37,-22
3,3,0.0465386,Yield,0,0,40,-25
6,1,0.0465676,Yield,0,0,46,-26
2,1,0.0466083,Yield,0,0,48,-27
3,2,0.0466373,Yield,0,0,51,-29
6,1,0.0466721,Yield,0,0,57,-30
3,2,0.0467882,Yield,0,0,60,-32
6,1,0.0468172,Yield,0,0,66,-33
3,1,0.0468811,Yield,0,0,69,-34
3,1,0.0469057,Yield,0,0,72,-35
3,1,0.0469159,Yield,0,0,75,-36
3,2,0.0469391,Yield,0,0,78,-38
3,2,0.046974,Yield,0,0,81,-40
2,2,0.047003,Yield,0,0,83,-42
3,2,0.0470146,Yield,0,0,86,-44
2,2,0.0470436,Yield,0,0,88,-46
2,2,0.0470668,Yield,0,0,90,-48
2,1,0.0470964,Yield,0,0,92,-49
2,4,0.0471423,Yield,0,0,94,-53
3,2,0.0471771,Yield,0,0,97,-55
2,2,0.0472062,Yield,0,0,99,-57
1,1,0.0472352,Yield,0,0,100,-58
1,1,0.0472526,Yield,0,0,101,-59
1,1,0.0472816,Yield,0,0,102,-60
1,1,0.0477634,Yield,0,0,103,-61
1,2,0.0477867,Yield,0,0,104,-63
1,1,0.0478273,Yield,0,0,105,-64
1,2,0.0478331,Yield,0,0,106,-66
1,2,0.0478563,Yield,0,0,107,-68
1,3,0.0478912,Yield,0,0,108,-71
1,3,0.047926,Yield,0,0,109,-74
1,4,0.047955,Yield,0,0,110,-78
-1,1,0.0479869,Yield,0,0,109,-79
-1,2,0.0480189,Yield,0,0,108,-81
-1,2,0.0480479,Yield,0,0,107,-83
-1,1,0.0480769,Yield,0,0,106,-84
-1,1,0.0480827,Yield,0,0,105,-85
-1,1,0.0481001,Yield,0,0,104,-86
-1,1,0.0491624,FRAY 1,264,187,103,-87
1,4,0.0492263,FRAY 1,264,187,104,-91
4,2,0.0492495,FRAY 1,264,187,108,-93
2,2,0.0492785,FRAY 1,264,187,110,-95
2,2,0.0493018,FRAY 1,264,187,112,-97
1,1,0.0493424,FRAY 1,264,187,113,-98
1,1,0.0493656,FRAY 1,264,187,114,-99
1,1,0.0494005,FRAY 1,264,187,115,-100
-1,1,0.0496152,FRAY 1,264,187,114,-101
-1,1,0.0496443,FRAY 1,264,187,113,-102
-1,2,0.0496733,FRAY 1,264,187,112,-104
-2,2,0.0497023,FRAY 1,264,187,110,-106
-2,2,0.0497371,FRAY 1,264,187,108,-108
-2,2,0.0497488,FRAY 1,264,187,106,-110
-1,1,0.0497662,FRAY 1,264,187,105,-111
-1,1,0.049801,FRAY 1,264,187,104,-112
-1,1,0.050248,FRAY 1,264,187,103,-113
-1,2,0.0503002,FRAY 1,264,187,102,-115
-1,2,0.0503234,FRAY 1,264,187,101,-117
1,3,0.0503525,FRAY 1,264,187,102,-120
1,3,0.0503873,FRAY 1,264,187,103,-123
2,-3,0.0504163,FRAY 1,264,187,105,-120
2,-4,0.0504279,FRAY 1,264,187,107,-116
-1,1,0.0504512,FRAY 1,264,187,106,-117
3,-1,0.0504744,FRAY 1,264,187,109,-116
1,2,0.0505034,FRAY 1,264,187,110,-118
2,2,0.0505382,FRAY 1,264,187,112,-120
3,3,0.0505673,FRAY 1,264,187,115,-123
3,4,0.0505789,FRAY 1,264,187,118,-127
3,4,0.0506021,FRAY 1,264,187,121,-131
3,3,0.0506311,FRAY 1,264,187,124,-134
3,4,0.0506659,FRAY 1,264,187,127,-138
