deltaX,deltaY,WHEN,SYLLABLE,XofButton,YofButton,XofTrace,YofTrace
-1,-1,0.0482104,Yield,0,0,-1,1
-2,-3,0.0482801,Yield,0,0,-3,4
-6,-2,0.0483149,Yield,0,0,-9,6
-3,-2,0.0483439,Yield,0,0,-12,8
-3,-2,0.0483846,Yield,0,0,-15,10
-3,-6,0.0484078,Yield,0,0,-18,16
-8,-2,0.048431,Yield,0,0,-26,18
-4,-2,0.0484717,Yield,0,0,-30,20
-2,-2,0.0485007,Yield,0,0,-32,22
-3,-2,0.0485123,Yield,0,0,-35,24
-3,-2,0.0485413,Yield,0,0,-38,26
-3,-2,0.0485645,Yield,0,0,-41,28
-3,-2,0.0485994,Yield,0,0,-44,30
-2,-1,0.0486284,Yield,0,0,-46,31
-2,1,0.0487503,Yield,0,0,-48,30
-3,1,0.0487793,Yield,0,0,-51,29
-3,1,0.0487909,Yield,0,0,-54,28
-3,1,0.0488258,Yield,0,0,-57,27
-3,1,0.0488606,Yield,0,0,-60,26
-3,1,0.0488896,Yield,0,0,-63,25
-2,1,0.048907,Yield,0,0,-65,24
-3,1,0.0489244,Yield,0,0,-68,23
-3,1,0.0489419,Yield,0,0,-71,22
-3,1,0.0489719,Yield,0,0,-74,21
-3,1,0.0489999,Yield,0,0,-77,20
-2,1,0.0490289,Yield,0,0,-79,19
-3,2,0.0490754,Yield,0,0,-82,17
-6,1,0.0491044,Yield,0,0,-88,16
-2,1,0.0491566,Yield,0,0,-90,15
-1,1,0.0491799,Yield,0,0,-91,14
-1,1,0.0492147,Yield,0,0,-92,13
-1,1,0.0493424,Yield,0,0,-93,12
-1,1,0.0494005,Yield,0,0,-94,11
-1,2,0.0494237,Yield,0,0,-95,9
-2,3,0.0494701,Yield,0,0,-97,6
-4,2,0.0495049,Yield,0,0,-101,4
-2,2,0.049534,Yield,0,0,-103,2
-3,2,0.0495688,Yield,0,0,-106,0
-3,2,0.049592,Yield,0,0,-109,-2
-4,3,0.0496094,Yield,0,0,-113,-5
-3,3,0.049621,Yield,0,0,-116,-8
-4,2,0.0496559,Yield,0,0,-120,-10
-4,3,0.0496849,Yield,0,0,-124,-13
-4,3,0.0497197,Yield,0,0,-128,-16
-3,3,0.0497429,Yield,0,0,-131,-19
-4,3,0.0497546,Yield,0,0,-135,-22
-3,2,0.0497836,Yield,0,0,-138,-24
-2,2,0.0498068,Yield,0,0,-140,-26
-1,2,0.0498405,Yield,0,0,-141,-28
-1,2,0.0498707,Yield,0,0,-142,-30
1,4,0.0498997,Yield,0,0,-141,-34
2,2,0.0499403,Yield,0,0,-139,-36
1,2,0.0499693,Yield,0,0,-138,-38
1,1,0.0500216,Yield,0,0,-137,-39
1,1,0.0500332,Yield,0,0,-136,-40
1,1,0.0619392,FRAY 1,277,412,-135,-41
1,1,0.0619857,FRAY 1,277,412,-134,-42
1,2,0.0620263,FRAY 1,277,412,-133,-44
-1,2,0.0620379,FRAY 1,277,412,-134,-46
-1,3,0.0620669,FRAY 1,277,412,-135,-49
-1,2,0.0621018,FRAY 1,277,412,-136,-51
-1,6,0.0621308,FRAY 1,277,412,-137,-57
-2,4,0.0621656,FRAY 1,277,412,-139,-61
-1,4,0.0622005,FRAY 1,277,412,-140,-65
-1,3,0.0622179,FRAY 1,277,412,-141,-68
-1,4,0.0622527,FRAY 1,277,412,-142,-72
-1,4,0.0622585,FRAY 1,277,412,-143,-76
-1,3,0.0622933,FRAY 1,277,412,-144,-79
-1,2,0.0623166,FRAY 1,277,412,-145,-81
-1,3,0.0623456,FRAY 1,277,412,-146,-84
1,3,0.0623862,FRAY 1,277,412,-145,-87
1,3,0.0624036,FRAY 1,277,412,-144,-90
1,2,0.062421,FRAY 1,277,412,-143,-92
1,2,0.0624378,FRAY 1,277,412,-142,-94
2,2,0.0624733,FRAY 1,277,412,-140,-96
2,1,0.0624965,FRAY 1,277,412,-138,-97
2,2,0.0625313,FRAY 1,277,412,-136,-99
3,3,0.0625662,FRAY 1,277,412,-133,-102
5,2,0.0625894,FRAY 1,277,412,-128,-104
3,2,0.06263,FRAY 1,277,412,-125,-106
3,2,0.0626358,FRAY 1,277,412,-122,-108
3,2,0.0626765,FRAY 1,277,412,-119,-110
3,1,0.0626823,FRAY 1,277,412,-116,-111
2,3,0.0627055,FRAY 1,277,412,-114,-114
3,3,0.0627403,FRAY 1,277,412,-111,-117
3,3,0.0627751,FRAY 1,277,412,-108,-120
3,3,0.0627868,FRAY 1,277,412,-105,-123
3,3,0.0628274,FRAY 1,277,412,-102,-126
2,2,0.0628332,FRAY 1,277,412,-100,-128
3,2,0.0628564,FRAY 1,277,412,-97,-130
3,2,0.0628854,FRAY 1,277,412,-94,-132
3,2,0.0629145,FRAY 1,277,412,-91,-134
3,2,0.0629261,FRAY 1,277,412,-88,-136
2,2,0.0629609,FRAY 1,277,412,-86,-138
3,2,0.0629783,FRAY 1,277,412,-83,-140
3,1,0.0630015,FRAY 1,277,412,-80,-141
3,2,0.0630364,FRAY 1,277,412,-77,-143
3,2,0.0630654,FRAY 1,277,412,-74,-145
2,2,0.063077,FRAY 1,277,412,-72,-147
3,2,0.0631002,FRAY 1,277,412,-69,-149
3,2,0.0631293,FRAY 1,277,412,-66,-151
3,2,0.0631641,FRAY 1,277,412,-63,-153
3,2,0.0631873,FRAY 1,277,412,-60,-155
3,1,0.0632163,FRAY 1,277,412,-57,-156
2,2,0.0632279,FRAY 1,277,412,-55,-158
3,2,0.0632512,FRAY 1,277,412,-52,-160
3,2,0.0632802,FRAY 1,277,412,-49,-162
3,2,0.063315,FRAY 1,277,412,-46,-164
3,2,0.0633556,FRAY 1,277,412,-43,-166
2,4,0.0633789,FRAY 1,277,412,-41,-170
6,1,0.0634021,FRAY 1,277,412,-35,-171
3,2,0.0634253,FRAY 1,277,412,-32,-173
3,2,0.0634659,FRAY 1,277,412,-29,-175
2,2,0.063495,FRAY 1,277,412,-27,-177
3,4,0.0635298,FRAY 1,277,412,-24,-181
6,2,0.063553,FRAY 1,277,412,-18,-183
3,2,0.0635762,FRAY 1,277,412,-15,-185
3,1,0.0636169,FRAY 1,277,412,-12,-186
2,2,0.0636401,FRAY 1,277,412,-10,-188
3,4,0.0636807,FRAY 1,277,412,-7,-192
6,2,0.0637214,FRAY 1,277,412,-1,-194
3,2,0.0637446,FRAY 1,277,412,2,-196
2,2,0.0637678,FRAY 1,277,412,4,-198
3,2,0.0638026,FRAY 1,277,412,7,-200
3,1,0.06382,FRAY 1,277,412,10,-201
3,2,0.0638317,FRAY 1,277,412,13,-203
3,3,0.0638665,FRAY 1,277,412,16,-206
2,3,0.0638955,FRAY 1,277,412,18,-209
3,3,0.0639361,FRAY 1,277,412,21,-212
