deltaX,deltaY,WHEN,SYLLABLE,XofButton,YofButton,XofTrace,YofTrace
-1,-1,0.0335935,Yield,0,0,-1,1
-1,-2,0.0336167,Yield,0,0,-2,3
-2,-2,0.0336573,Yield,0,0,-4,5
-2,-2,0.0336689,Yield,0,0,-6,7
-3,-5,0.0337096,Yield,0,0,-9,12
-5,-3,0.0337444,Yield,0,0,-14,15
-4,-3,0.0337734,Yield,0,0,-18,18
-4,-6,0.0338083,Yield,0,0,-22,24
-7,-2,0.0338431,Yield,0,0,-29,26
-4,-3,0.0338779,Yield,0,0,-33,29
-4,-6,0.0339185,Yield,0,0,-37,35
-7,-3,0.0339476,Yield,0,0,-44,38
-4,-2,0.0339766,Yield,0,0,-48,40
-4,-3,0.0340114,Yield,0,0,-52,43
-4,-6,0.0340405,Yield,0,0,-56,49
-7,-3,0.0340753,Yield,0,0,-63,52
-4,-5,0.0341159,Yield,0,0,-67,57
-7,-3,0.0341449,Yield,0,0,-74,60
-4,-3,0.0341798,Yield,0,0,-78,63
-4,-3,0.0342088,Yield,0,0,-82,66
-4,-3,0.0342262,Yield,0,0,-86,69
-3,-2,0.0342552,Yield,0,0,-89,71
-4,-3,0.0342727,Yield,0,0,-93,74
-4,-3,0.0342843,Yield,0,0,-97,77
-4,-2,0.0343017,Yield,0,0,-101,79
-3,-2,0.0343481,Yield,0,0,-104,81
-4,-1,0.0343539,Yield,0,0,-108,82
-4,1,0.0343829,Yield,0,0,-112,81
-4,2,0.034412,Yield,0,0,-116,79
-3,2,0.0344294,Yield,0,0,-119,77
-4,3,0.034441,Yield,0,0,-123,74
-3,3,0.03447,Yield,0,0,-126,71
-3,2,0.0344932,Yield,0,0,-129,69
-2,2,0.0345165,Yield,0,0,-131,67
-1,1,0.0345298,Yield,0,0,-132,66
-1,1,0.0345571,Yield,0,0,-133,65
-1,1,0.0345919,Yield,0,0,-134,64
-1,1,0.0352537,Yield,0,0,-135,63
-1,1,0.0352595,Yield,0,0,-136,62
-1,2,0.0352827,Yield,0,0,-137,60
-1,2,0.0353059,Yield,0,0,-138,58
-1,1,0.0353408,Yield,0,0,-139,57
-1,2,0.035364,Yield,0,0,-140,55
-1,2,0.0353988,Yield,0,0,-141,53
-1,2,0.0354046,Yield,0,0,-142,51
-1,2,0.0354278,Yield,0,0,-143,49
1,2,0.0354685,Yield,0,0,-142,47
1,2,0.0354917,Yield,0,0,-141,45
1,2,0.0355149,Yield,0,0,-140,43
1,1,0.0355323,Yield,0,0,-139,42
1,2,0.0355556,Yield,0,0,-138,40
1,2,0.0355788,Yield,0,0,-137,38
1,2,0.0356136,Yield,0,0,-136,36
1,2,0.0356542,Yield,0,0,-135,34
1,1,0.0357181,Yield,0,0,-134,33
1,1,0.0357471,Yield,0,0,-133,32
-1,1,0.0357645,Yield,0,0,-134,31
-2,2,0.0358052,Yield,0,0,-136,29
-2,2,0.0358342,Yield,0,0,-138,27
-2,3,0.035869,Yield,0,0,-140,24
-3,3,0.0358922,Yield,0,0,-143,21
-3,3,0.0359155,Yield,0,0,-146,18
-3,3,0.0359503,Yield,0,0,-149,15
-2,4,0.0359561,Yield,0,0,-151,11
-2,4,0.0359793,Yield,0,0,-153,7
-1,4,0.0360141,Yield,0,0,-154,3
-1,2,0.0360432,Yield,0,0,-155,1
-1,2,0.0360664,Yield,0,0,-156,-1
-1,2,0.0360838,Yield,0,0,-157,-3
-1,2,0.0361128,Yield,0,0,-158,-5
-1,1,0.0361302,Yield,0,0,-159,-6
-1,1,0.0361651,Yield,0,0,-160,-7
1,1,0.0371926,Yield,0,0,-159,-8
1,4,0.037268,Yield,0,0,-158,-12
1,1,0.0372971,Yield,0,0,-157,-13
1,2,0.0373319,Yield,0,0,-156,-15
1,4,0.0373609,Yield,0,0,-155,-19
2,2,0.0374015,Yield,0,0,-153,-21
2,2,0.0374132,Yield,0,0,-151,-23
2,1,0.0374422,Yield,0,0,-149,-24
2,1,0.0374654,Yield,0,0,-147,-25
2,1,0.0374944,Yield,0,0,-145,-26
1,-1,0.0443385,FRAY 1,87,416,-144,-25
1,-1,0.0443907,FRAY 1,87,416,-143,-24
1,-1,0.0444024,FRAY 1,87,416,-142,-23
1,-1,0.0444256,FRAY 1,87,416,-141,-22
-1,-2,0.0444604,FRAY 1,87,416,-142,-20
-1,-1,0.0444894,FRAY 1,87,416,-143,-19
-1,-1,0.0444894,FRAY 1,87,416,-144,-18
-1,1,0.0445475,FRAY 1,87,416,-145,-19
-1,1,0.0445823,FRAY 1,87,416,-146,-20
-1,2,0.0446113,FRAY 1,87,416,-147,-22
-1,3,0.0446346,FRAY 1,87,416,-148,-25
1,3,0.0446447,FRAY 1,87,416,-147,-28
2,4,0.0446636,FRAY 1,87,416,-145,-32
2,3,0.0446984,FRAY 1,87,416,-143,-35
2,4,0.0447332,FRAY 1,87,416,-141,-39
2,4,0.0447623,FRAY 1,87,416,-139,-43
2,4,0.0447797,FRAY 1,87,416,-137,-47
2,2,0.0447971,FRAY 1,87,416,-135,-49
