deltaX,deltaY,WHEN,SYLLABLE,XofButton,YofButton,XofTrace,YofTrace
-1,-2,0.0147156,Yield,0,0,-1,2
-3,-5,0.0147447,Yield,0,0,-4,7
-7,-3,0.0147795,Yield,0,0,-11,10
-4,-3,0.0148143,Yield,0,0,-15,13
-3,-3,0.0148492,Yield,0,0,-18,16
-7,-1,0.014884,Yield,0,0,-25,17
-3,-1,0.014913,Yield,0,0,-28,18
-1,1,0.0162017,Yield,0,0,-29,17
-2,1,0.0162249,Yield,0,0,-31,16
-3,2,0.0162598,Yield,0,0,-34,14
-3,1,0.0162946,Yield,0,0,-37,13
-4,3,0.0163004,Yield,0,0,-41,10
-3,3,0.0163236,Yield,0,0,-44,7
-4,4,0.0163643,Yield,0,0,-48,3
-4,4,0.0163933,Yield,0,0,-52,-1
-4,3,0.0164165,Yield,0,0,-56,-4
-3,4,0.0164455,Yield,0,0,-59,-8
-4,4,0.0164571,Yield,0,0,-63,-12
-4,4,0.0164804,Yield,0,0,-67,-16
-4,3,0.0165094,Yield,0,0,-71,-19
-3,4,0.0165442,Yield,0,0,-74,-23
-4,4,0.01655,Yield,0,0,-78,-27
-4,4,0.0165849,Yield,0,0,-82,-31
-4,3,0.0166081,Yield,0,0,-86,-34
-3,4,0.0166279,Yield,0,0,-89,-38
-4,4,0.0166603,Yield,0,0,-93,-42
-4,4,0.0166951,Yield,0,0,-97,-46
-4,3,0.016701,Yield,0,0,-101,-49
-3,4,0.0167184,Yield,0,0,-104,-53
-4,3,0.0167532,Yield,0,0,-108,-56
-4,3,0.0167822,Yield,0,0,-112,-59
-4,3,0.0167938,Yield,0,0,-116,-62
-2,2,0.0168345,Yield,0,0,-118,-64
-3,2,0.0168461,Yield,0,0,-121,-66
-3,2,0.0168693,Yield,0,0,-124,-68
-2,2,0.0169015,Yield,0,0,-126,-70
-2,2,0.0169332,Yield,0,0,-128,-72
-2,2,0.0169738,Yield,0,0,-130,-74
-3,1,0.016997,Yield,0,0,-133,-75
-3,1,0.0170202,Yield,0,0,-136,-76
-3,-1,0.0171247,Yield,0,0,-139,-75
-4,-1,0.0171479,Yield,0,0,-143,-74
-4,-1,0.0171794,Yield,0,0,-147,-73
-3,-2,0.0172234,Yield,0,0,-150,-71
-2,-2,0.0172292,Yield,0,0,-152,-69
-2,-2,0.0172419,Yield,0,0,-154,-67
-2,-3,0.0172698,Yield,0,0,-156,-64
1,-2,0.0172931,Yield,0,0,-155,-62
1,-3,0.0173337,Yield,0,0,-154,-59
2,-3,0.0173569,Yield,0,0,-152,-56
3,-3,0.0173627,Yield,0,0,-149,-53
3,-3,0.0173859,Yield,0,0,-146,-50
3,-3,0.0174092,Yield,0,0,-143,-47
3,-2,0.0174382,Yield,0,0,-140,-45
2,-3,0.0174672,Yield,0,0,-138,-42
3,-2,0.017502,Yield,0,0,-135,-40
3,-2,0.0175078,Yield,0,0,-132,-38
3,-2,0.0175427,Yield,0,0,-129,-36
3,-1,0.0175659,Yield,0,0,-126,-35
2,-1,0.0176123,Yield,0,0,-124,-34
3,-1,0.0176181,Yield,0,0,-121,-33
3,-1,0.0176414,Yield,0,0,-118,-32
2,-1,0.0176847,Yield,0,0,-116,-31
2,-1,0.0177168,Yield,0,0,-114,-30
1,-1,0.0177517,Yield,0,0,-113,-29
2,-2,0.0177923,Yield,0,0,-111,-27
2,-1,0.0178213,Yield,0,0,-109,-26
1,-1,0.017862,Yield,0,0,-108,-25
1,-1,0.0178678,Yield,0,0,-107,-24
2,-1,0.0179026,Yield,0,0,-105,-23
2,-1,0.0179432,Yield,0,0,-103,-22
2,-1,0.0179664,Yield,0,0,-101,-21
3,-1,0.0179955,Yield,0,0,-98,-20
3,1,0.0180419,Yield,0,0,-95,-21
2,1,0.0180709,Yield,0,0,-93,-22
2,1,0.0180941,Yield,0,0,-91,-23
2,2,0.0181174,Yield,0,0,-89,-25
1,1,0.0181638,Yield,0,0,-88,-26
1,1,0.0181986,Yield,0,0,-87,-27
1,-1,0.0232722,FRAY 1,87,416,-86,-26
1,-1,0.0233302,FRAY 1,87,416,-85,-25
1,-1,0.0233535,FRAY 1,87,416,-84,-24
1,-3,0.0233999,FRAY 1,87,416,-83,-21
2,-1,0.0234347,FRAY 1,87,416,-81,-20
1,2,0.0235276,FRAY 1,87,416,-80,-22
3,2,0.0235683,FRAY 1,87,416,-77,-24
1,4,0.0235915,FRAY 1,87,416,-76,-28
1,3,0.0236205,FRAY 1,87,416,-75,-31
1,4,0.0236437,FRAY 1,87,416,-74,-35
-1,4,0.0236611,FRAY 1,87,416,-75,-39
-1,3,0.0236844,FRAY 1,87,416,-76,-42
-1,4,0.0237076,FRAY 1,87,416,-77,-46
-1,4,0.0237366,FRAY 1,87,416,-78,-50
-1,4,0.023754,FRAY 1,87,416,-79,-54
-1,3,0.023783,FRAY 1,87,416,-80,-57
-1,4,0.0238129,FRAY 1,87,416,-81,-61
-1,4,0.0238411,FRAY 1,87,416,-82,-65
1,4,0.0238585,FRAY 1,87,416,-81,-69
2,3,0.0238817,FRAY 1,87,416,-79,-72
2,4,0.0238991,FRAY 1,87,416,-77,-76
2,4,0.0239224,FRAY 1,87,416,-75,-80
3,4,0.0239514,FRAY 1,87,416,-72,-84
3,3,0.0239746,FRAY 1,87,416,-69,-87
2,4,0.024021,FRAY 1,87,416,-67,-91
3,4,0.0240441,FRAY 1,87,416,-64,-95
3,4,0.0240501,FRAY 1,87,416,-61,-99
3,3,0.0240733,FRAY 1,87,416,-58,-102
3,4,0.0241065,FRAY 1,87,416,-55,-106
2,4,0.0241429,FRAY 1,87,416,-53,-110
3,4,0.024172,FRAY 1,87,416,-50,-114
3,3,0.0241952,FRAY 1,87,416,-47,-117
3,4,0.024201,FRAY 1,87,416,-44,-121
3,4,0.0242242,FRAY 1,87,416,-41,-125
3,4,0.0242474,FRAY 1,87,416,-38,-129
2,3,0.0242823,FRAY 1,87,416,-36,-132
3,4,0.0243113,FRAY 1,87,416,-33,-136
2,8,0.0243577,FRAY 1,87,416,-31,-144
3,3,0.0243751,FRAY 1,87,416,-28,-147
1,4,0.0244042,FRAY 1,87,416,-27,-151
1,4,0.0244332,FRAY 1,87,416,-26,-155
-1,4,0.024468,FRAY 1,87,416,-27,-159
-1,3,0.0244796,FRAY 1,87,416,-28,-162
-2,4,0.0245087,FRAY 1,87,416,-30,-166
-2,4,0.0245261,FRAY 1,87,416,-32,-170
-2,4,0.0245609,FRAY 1,87,416,-34,-174
-2,3,0.0246015,FRAY 1,87,416,-36,-177
-1,4,0.024619,FRAY 1,87,416,-37,-181
-2,4,0.0246306,FRAY 1,87,416,-39,-185
-1,3,0.0246538,FRAY 1,87,416,-40,-188
-1,2,0.0246828,FRAY 1,87,416,-41,-190
-1,2,0.0247118,FRAY 1,87,416,-42,-192
-1,2,0.0247467,FRAY 1,87,416,-43,-194
-1,1,0.0247699,FRAY 1,87,416,-44,-195
-1,-1,0.0248337,FRAY 1,87,416,-45,-194
1,-1,0.024886,FRAY 1,87,416,-44,-193
2,-1,0.0248976,FRAY 1,87,416,-42,-192
2,1,0.0249731,FRAY 1,87,416,-40,-193
3,1,0.0250021,FRAY 1,87,416,-37,-194
2,2,0.0250348,FRAY 1,87,416,-35,-196
3,2,0.0250427,FRAY 1,87,416,-32,-198
3,2,0.0250744,FRAY 1,87,416,-29,-200
3,3,0.0251008,FRAY 1,87,416,-26,-203
3,3,0.025124,FRAY 1,87,416,-23,-206
2,4,0.025153,FRAY 1,87,416,-21,-210
3,4,0.0251646,FRAY 1,87,416,-18,-214
3,3,0.0251878,FRAY 1,87,416,-15,-217
3,4,0.0252111,FRAY 1,87,416,-12,-221
3,4,0.0252401,FRAY 1,87,416,-9,-225
2,4,0.0252749,FRAY 1,87,416,-7,-229
3,3,0.0252981,FRAY 1,87,416,-4,-232
3,4,0.0253156,FRAY 1,87,416,-1,-236
3,4,0.0253388,FRAY 1,87,416,2,-240
3,4,0.025362,FRAY 1,87,416,5,-244
3,3,0.0253853,FRAY 1,87,416,8,-247
2,4,0.02542,FRAY 1,87,416,10,-251
3,4,0.0254491,FRAY 1,87,416,13,-255
3,4,0.0254607,FRAY 1,87,416,16,-259
3,3,0.0254839,FRAY 1,87,416,19,-262
3,4,0.0255071,FRAY 1,87,416,22,-266
2,4,0.0255361,FRAY 1,87,416,24,-270
3,4,0.025571,FRAY 1,87,416,27,-274
3,3,0.0256,FRAY 1,87,416,30,-277
3,4,0.0256116,FRAY 1,87,416,33,-281
3,4,0.0256348,FRAY 1,87,416,36,-285
2,4,0.025658,FRAY 1,87,416,38,-289
3,3,0.0256813,FRAY 1,87,416,41,-292
2,4,0.0257161,FRAY 1,87,416,43,-296
2,4,0.0257451,FRAY 1,87,416,45,-300
1,4,0.0257625,FRAY 1,87,416,46,-304
1,3,0.0257858,FRAY 1,87,416,47,-307
1,4,0.025809,FRAY 1,87,416,48,-311
1,4,0.0258438,FRAY 1,87,416,49,-315
1,4,0.025867,FRAY 1,87,416,50,-319
1,3,0.0258961,FRAY 1,87,416,51,-322
2,4,0.0259135,FRAY 1,87,416,53,-326
1,4,0.0259367,FRAY 1,87,416,54,-330
2,4,0.0259715,FRAY 1,87,416,56,-334
3,3,0.0259889,FRAY 1,87,416,59,-337
3,4,0.0260005,FRAY 1,87,416,62,-341
3,4,0.026047,FRAY 1,87,416,65,-345
3,4,0.0260586,FRAY 1,87,416,68,-349
2,3,0.0260818,FRAY 1,87,416,70,-352
3,4,0.026105,FRAY 1,87,416,73,-356
3,4,0.0261399,FRAY 1,87,416,76,-360
3,4,0.0261515,FRAY 1,87,416,79,-364
3,3,0.0261921,FRAY 1,87,416,82,-367
1,4,0.0262095,FRAY 1,87,416,83,-371
1,4,0.0262327,FRAY 1,87,416,84,-375
1,4,0.026256,FRAY 1,87,416,85,-379
-1,3,0.0262908,FRAY 1,87,416,84,-382
-1,4,0.0263024,FRAY 1,87,416,83,-386
-3,4,0.0263314,FRAY 1,87,416,80,-390
-3,4,0.0263605,FRAY 1,87,416,77,-394
-4,3,0.0263837,FRAY 1,87,416,73,-397
-4,4,0.0264069,FRAY 1,87,416,69,-401
-3,4,0.0264475,FRAY 1,87,416,66,-405
-4,4,0.0264591,FRAY 1,87,416,62,-409
-4,3,0.0264824,FRAY 1,87,416,58,-412
-4,4,0.0265114,FRAY 1,87,416,54,-416
-3,4,0.0265346,FRAY 1,87,416,51,-420
-4,4,0.0265615,FRAY 1,87,416,47,-424
-4,3,0.0265927,FRAY 1,87,416,43,-427
-4,4,0.0266101,FRAY 1,87,416,39,-431
-3,4,0.0266333,FRAY 1,87,416,36,-435
-4,4,0.0266565,FRAY 1,87,416,32,-439
-4,3,0.0266913,FRAY 1,87,416,28,-442
-4,4,0.0267146,FRAY 1,87,416,24,-446
-3,4,0.0267436,FRAY 1,87,416,21,-450
-4,4,0.026761,FRAY 1,87,416,17,-454
-4,3,0.0267842,FRAY 1,87,416,13,-457
-4,4,0.0268074,FRAY 1,87,416,9,-461
-3,4,0.0268423,FRAY 1,87,416,6,-465
-4,4,0.0268713,FRAY 1,87,416,2,-469
-4,3,0.0269003,FRAY 1,87,416,-2,-472
-4,4,0.0269119,FRAY 1,87,416,-6,-476
-3,4,0.0269351,FRAY 1,87,416,-9,-480
-4,4,0.0269584,FRAY 1,87,416,-13,-484
-4,3,0.0269932,FRAY 1,87,416,-17,-487
-4,4,0.0270222,FRAY 1,87,416,-21,-491
-3,4,0.0270571,FRAY 1,87,416,-24,-495
-3,4,0.0270629,FRAY 1,87,416,-27,-499
-2,3,0.0270873,FRAY 1,87,416,-29,-502
-1,4,0.0271151,FRAY 1,87,416,-30,-506
-1,4,0.0271441,FRAY 1,87,416,-31,-510
1,4,0.027179,FRAY 1,87,416,-30,-514
2,3,0.027208,FRAY 1,87,416,-28,-517
2,4,0.0272138,FRAY 1,87,416,-26,-521
2,4,0.0272428,FRAY 1,87,416,-24,-525
2,4,0.027266,FRAY 1,87,416,-22,-529
3,3,0.0272893,FRAY 1,87,416,-19,-532
3,3,0.0273299,FRAY 1,87,416,-16,-535
3,3,0.0273531,FRAY 1,87,416,-13,-538
3,3,0.0273705,FRAY 1,87,416,-10,-541
2,3,0.0273937,FRAY 1,87,416,-8,-544
2,2,0.0274286,FRAY 1,87,416,-6,-546
2,3,0.0274402,FRAY 1,87,416,-4,-549
2,3,0.027475,FRAY 1,87,416,-2,-552
1,3,0.027504,FRAY 1,87,416,-1,-555
1,3,0.0275215,FRAY 1,87,416,0,-558
1,2,0.0275447,FRAY 1,87,416,1,-560
1,3,0.0275777,FRAY 1,87,416,2,-563
1,1,0.0276143,FRAY 1,87,416,3,-564
2,4,0.0276168,FRAY 1,87,416,5,-568
2,4,0.0276492,FRAY 1,87,416,7,-572
3,3,0.0276724,FRAY 1,87,416,10,-575
2,4,0.0276956,FRAY 1,87,416,12,-579
3,4,0.0277304,FRAY 1,87,416,15,-583
3,4,0.0277537,FRAY 1,87,416,18,-587
3,3,0.0277711,FRAY 1,87,416,21,-590
3,3,0.0277943,FRAY 1,87,416,24,-593
