deltaX,deltaY,WHEN,SYLLABLE,XofButton,YofButton,XofTrace,YofTrace
-1,-1,0.0256058,Yield,0,0,-1,1
-2,-1,0.0256464,Yield,0,0,-3,2
-2,-2,0.0256578,Yield,0,0,-5,4
-2,-2,0.0256813,Yield,0,0,-7,6
-2,-2,0.0257103,Yield,0,0,-9,8
-1,-1,0.0257451,Yield,0,0,-10,9
-2,-2,0.0257683,Yield,0,0,-12,11
-1,-2,0.0257974,Yield,0,0,-13,13
-1,-2,0.025809,Yield,0,0,-14,15
-1,-1,0.0258322,Yield,0,0,-15,16
-2,-1,0.0258612,Yield,0,0,-17,17
-1,1,0.0259251,Yield,0,0,-18,16
-1,1,0.0259657,Yield,0,0,-19,15
-2,1,0.0259889,Yield,0,0,-21,14
-1,1,0.0260063,Yield,0,0,-22,13
-1,1,0.0263605,Yield,0,0,-23,12
-2,1,0.0263837,Yield,0,0,-25,11
-2,1,0.0264069,Yield,0,0,-27,10
-3,1,0.0264417,Yield,0,0,-30,9
-3,1,0.0264707,Yield,0,0,-33,8
-3,1,0.0264882,Yield,0,0,-36,7
-4,1,0.0265056,Yield,0,0,-40,6
-4,1,0.0265462,Yield,0,0,-44,5
-4,1,0.0265642,Yield,0,0,-48,4
-3,1,0.0266101,Yield,0,0,-51,3
-3,2,0.0266391,Yield,0,0,-54,1
-1,1,0.0272544,Yield,0,0,-55,0
-1,1,0.0273264,Yield,0,0,-56,-1
-1,1,0.0273415,Yield,0,0,-57,-2
-2,-1,0.0274866,Yield,0,0,-59,-1
-6,-1,0.0275215,Yield,0,0,-65,0
-3,-1,0.0275621,Yield,0,0,-68,1
-3,-2,0.0275969,Yield,0,0,-71,3
-8,-2,0.0276376,Yield,0,0,-79,5
-4,-1,0.0277072,Yield,0,0,-83,6
-5,1,0.0277827,Yield,0,0,-88,5
-2,2,0.0278233,Yield,0,0,-90,3
-2,2,0.0278581,Yield,0,0,-92,1
-2,4,0.0278872,Yield,0,0,-94,-3
-2,2,0.0279184,Yield,0,0,-96,-5
-1,2,0.0279568,Yield,0,0,-97,-7
-1,2,0.0279917,Yield,0,0,-98,-9
-1,1,0.0280091,Yield,0,0,-99,-10
-2,2,0.0280207,Yield,0,0,-101,-12
-2,1,0.0280381,Yield,0,0,-103,-13
-2,1,0.0280714,Yield,0,0,-105,-14
-1,1,0.028102,Yield,0,0,-106,-15
-1,1,0.0281368,Yield,0,0,-107,-16
