deltaX,deltaY,WHEN,SYLLABLE,XofButton,YofButton,XofTrace,YofTrace
-1,1,0.0119757,Yield,0,0,-1,-1
-1,1,0.0120047,Yield,0,0,-2,-2
-2,2,0.0120221,Yield,0,0,-4,-4
-3,2,0.0120454,Yield,0,0,-7,-6
-4,1,0.0120802,Yield,0,0,-11,-7
-3,2,0.0121092,Yield,0,0,-14,-9
-4,4,0.0121498,Yield,0,0,-18,-13
-8,2,0.0121789,Yield,0,0,-26,-15
-3,2,0.0122079,Yield,0,0,-29,-17
-4,2,0.0122485,Yield,0,0,-33,-19
-4,1,0.0122776,Yield,0,0,-37,-20
-4,-1,0.0123414,Yield,0,0,-41,-19
-4,-2,0.0123762,Yield,0,0,-45,-17
-7,-2,0.0124053,Yield,0,0,-52,-15
-4,-2,0.0124401,Yield,0,0,-56,-13
-4,-4,0.0124777,Yield,0,0,-60,-9
-7,-2,0.0125098,Yield,0,0,-67,-7
-4,-3,0.0125272,Yield,0,0,-71,-4
-3,-3,0.0125504,Yield,0,0,-74,-1
-3,-3,0.0125736,Yield,0,0,-77,2
-2,-2,0.0126084,Yield,0,0,-79,4
-3,-2,0.0126375,Yield,0,0,-82,6
-3,-2,0.0126491,Yield,0,0,-85,8
-3,-1,0.0126781,Yield,0,0,-88,9
-2,-1,0.0127129,Yield,0,0,-90,10
-2,-1,0.0127361,Yield,0,0,-92,11
-1,-1,0.012771,Yield,0,0,-93,12
-3,1,0.0136998,Yield,0,0,-96,11
-2,1,0.0137288,Yield,0,0,-98,10
-4,1,0.0137589,Yield,0,0,-102,9
-4,1,0.0137752,Yield,0,0,-106,8
-4,1,0.0138159,Yield,0,0,-110,7
-7,2,0.0138391,Yield,0,0,-117,5
-4,2,0.0138855,Yield,0,0,-121,3
-4,4,0.0139146,Yield,0,0,-125,-1
-7,2,0.0139436,Yield,0,0,-132,-3
-3,2,0.0139784,Yield,0,0,-135,-5
-3,1,0.0140074,Yield,0,0,-138,-6
-2,1,0.0140423,Yield,0,0,-140,-7
-1,1,0.0140655,Yield,0,0,-141,-8
-1,-1,0.02048,FRAY 1,146,229,-142,-7
-1,-1,0.0205032,FRAY 1,146,229,-143,-6
-1,-1,0.0205439,FRAY 1,146,229,-144,-5
-1,-2,0.0205787,FRAY 1,146,229,-145,-3
-1,-2,0.0205845,FRAY 1,146,229,-146,-1
-1,-2,0.0206077,FRAY 1,146,229,-147,1
-1,-2,0.0206483,FRAY 1,146,229,-148,3
-1,-2,0.0206774,FRAY 1,146,229,-149,5
-1,-2,0.0207122,FRAY 1,146,229,-150,7
-2,-1,0.020747,FRAY 1,146,229,-152,8
-1,1,0.0208573,FRAY 1,146,229,-153,7
-1,1,0.0208805,FRAY 1,146,229,-154,6
1,1,0.0209136,FRAY 1,146,229,-153,5
2,2,0.0209734,FRAY 1,146,229,-151,3
2,2,0.0209908,FRAY 1,146,229,-149,1
3,2,0.0210083,FRAY 1,146,229,-146,-1
3,3,0.0210489,FRAY 1,146,229,-143,-4
2,3,0.0210721,FRAY 1,146,229,-141,-7
3,2,0.0210953,FRAY 1,146,229,-138,-9
3,3,0.0211302,FRAY 1,146,229,-135,-12
3,3,0.021136,FRAY 1,146,229,-132,-15
3,3,0.0211534,FRAY 1,146,229,-129,-18
2,3,0.0211874,FRAY 1,146,229,-127,-21
3,3,0.0212172,FRAY 1,146,229,-124,-24
3,4,0.0212521,FRAY 1,146,229,-121,-28
3,4,0.0212579,FRAY 1,146,229,-118,-32
3,4,0.021289,FRAY 1,146,229,-115,-36
2,3,0.0213217,FRAY 1,146,229,-113,-39
2,4,0.0213507,FRAY 1,146,229,-111,-43
1,3,0.0213682,FRAY 1,146,229,-110,-46
1,3,0.021403,FRAY 1,146,229,-109,-49
-1,3,0.0214088,FRAY 1,146,229,-110,-52
-2,2,0.0214436,FRAY 1,146,229,-112,-54
-2,3,0.0214668,FRAY 1,146,229,-114,-57
-3,3,0.0214959,FRAY 1,146,229,-117,-60
-3,3,0.0215191,FRAY 1,146,229,-120,-63
-3,3,0.0215539,FRAY 1,146,229,-123,-66
-2,3,0.0215597,FRAY 1,146,229,-125,-69
-1,2,0.0215829,FRAY 1,146,229,-126,-71
-1,3,0.021612,FRAY 1,146,229,-127,-74
1,3,0.021641,FRAY 1,146,229,-126,-77
2,3,0.0216584,FRAY 1,146,229,-124,-80
2,3,0.0216642,FRAY 1,146,229,-122,-83
3,2,0.0216932,FRAY 1,146,229,-119,-85
3,3,0.0217165,FRAY 1,146,229,-116,-88
3,3,0.0217455,FRAY 1,146,229,-113,-91
2,6,0.0217861,FRAY 1,146,229,-111,-97
4,2,0.0218093,FRAY 1,146,229,-107,-99
2,3,0.0218384,FRAY 1,146,229,-105,-102
2,2,0.0218616,FRAY 1,146,229,-103,-104
2,2,0.0218906,FRAY 1,146,229,-101,-106
2,2,0.0219254,FRAY 1,146,229,-99,-108
1,2,0.0219312,FRAY 1,146,229,-98,-110
3,2,0.0219545,FRAY 1,146,229,-95,-112
3,2,0.0219893,FRAY 1,146,229,-92,-114
3,2,0.0220299,FRAY 1,146,229,-89,-116
3,3,0.0220532,FRAY 1,146,229,-86,-119
3,3,0.0220764,FRAY 1,146,229,-83,-122
2,3,0.022088,FRAY 1,146,229,-81,-125
3,3,0.0221112,FRAY 1,146,229,-78,-128
3,2,0.0221402,FRAY 1,146,229,-75,-130
3,4,0.0221701,FRAY 1,146,229,-72,-134
3,4,0.0222041,FRAY 1,146,229,-69,-138
2,4,0.0222273,FRAY 1,146,229,-67,-142
3,3,0.0222389,FRAY 1,146,229,-64,-145
3,4,0.0222679,FRAY 1,146,229,-61,-149
3,4,0.0222912,FRAY 1,146,229,-58,-153
3,4,0.022326,FRAY 1,146,229,-55,-157
2,3,0.022355,FRAY 1,146,229,-53,-160
3,6,0.0223898,FRAY 1,146,229,-50,-166
6,3,0.0224189,FRAY 1,146,229,-44,-169
3,3,0.0224363,FRAY 1,146,229,-41,-172
2,2,0.0224653,FRAY 1,146,229,-39,-174
3,3,0.0225117,FRAY 1,146,229,-36,-177
3,3,0.0225176,FRAY 1,146,229,-33,-180
3,3,0.0225408,FRAY 1,146,229,-30,-183
3,3,0.0225698,FRAY 1,146,229,-27,-186
3,3,0.0225977,FRAY 1,146,229,-24,-189
2,2,0.022622,FRAY 1,146,229,-22,-191
3,3,0.0226627,FRAY 1,146,229,-19,-194
3,3,0.0226685,FRAY 1,146,229,-16,-197
3,3,0.0226917,FRAY 1,146,229,-13,-200
3,3,0.0227265,FRAY 1,146,229,-10,-203
2,2,0.0227556,FRAY 1,146,229,-8,-205
3,3,0.0227672,FRAY 1,146,229,-5,-208
3,3,0.0227846,FRAY 1,146,229,-2,-211
3,3,0.0228136,FRAY 1,146,229,1,-214
3,2,0.0228368,FRAY 1,146,229,4,-216
2,2,0.0228717,FRAY 1,146,229,6,-218
3,1,0.0228949,FRAY 1,146,229,9,-219
3,4,0.0229355,FRAY 1,146,229,12,-223
6,2,0.0229645,FRAY 1,146,229,18,-225
2,1,0.022982,FRAY 1,146,229,20,-226
1,1,0.0230052,FRAY 1,146,229,21,-227
1,1,0.0230342,FRAY 1,146,229,22,-228
1,1,0.0230748,FRAY 1,146,229,23,-229
1,1,0.02322,FRAY 1,146,229,24,-230
1,1,0.0232606,FRAY 1,146,229,25,-231
1,1,0.0232838,FRAY 1,146,229,26,-232
1,1,0.023307,FRAY 1,146,229,27,-233
1,2,0.0233361,FRAY 1,146,229,28,-235
1,1,0.0233709,FRAY 1,146,229,29,-236
2,2,0.0233825,FRAY 1,146,229,31,-238
2,2,0.0233941,FRAY 1,146,229,33,-240
2,2,0.023424,FRAY 1,146,229,35,-242
2,2,0.0234405,FRAY 1,146,229,37,-244
2,2,0.0234754,FRAY 1,146,229,39,-246
3,2,0.0235044,FRAY 1,146,229,42,-248
3,2,0.023516,FRAY 1,146,229,45,-250
3,1,0.0235392,FRAY 1,146,229,48,-251
3,1,0.0235683,FRAY 1,146,229,51,-252
2,1,0.0235973,FRAY 1,146,229,53,-253
3,1,0.0236263,FRAY 1,146,229,56,-254
3,1,0.0236553,FRAY 1,146,229,59,-255
3,1,0.0236669,FRAY 1,146,229,62,-256
3,1,0.0236902,FRAY 1,146,229,65,-257
3,2,0.0237192,FRAY 1,146,229,68,-259
2,2,0.023754,FRAY 1,146,229,70,-261
3,2,0.0237714,FRAY 1,146,229,73,-263
3,2,0.0238121,FRAY 1,146,229,76,-265
3,2,0.0238179,FRAY 1,146,229,79,-267
3,3,0.0238411,FRAY 1,146,229,82,-270
2,3,0.0238759,FRAY 1,146,229,84,-273
3,3,0.0238991,FRAY 1,146,229,87,-276
3,4,0.0239398,FRAY 1,146,229,90,-280
3,3,0.0239456,FRAY 1,146,229,93,-283
3,4,0.0239688,FRAY 1,146,229,96,-287
2,4,0.023992,FRAY 1,146,229,98,-291
3,4,0.024021,FRAY 1,146,229,101,-295
3,3,0.0240501,FRAY 1,146,229,104,-298
3,4,0.024083,FRAY 1,146,229,107,-302
3,8,0.0241197,FRAY 1,146,229,110,-310
5,3,0.0241429,FRAY 1,146,229,115,-313
2,3,0.0241778,FRAY 1,146,229,117,-316
2,3,0.024201,FRAY 1,146,229,119,-319
1,3,0.0242416,FRAY 1,146,229,120,-322
1,4,0.0242765,FRAY 1,146,229,121,-326
1,2,0.0243055,FRAY 1,146,229,122,-328
1,2,0.0243229,FRAY 1,146,229,123,-330
1,1,0.0243519,FRAY 1,146,229,124,-331
1,1,0.0243693,FRAY 1,146,229,125,-332
1,1,0.0244506,FRAY 1,146,229,126,-333
1,1,0.0244971,FRAY 1,146,229,127,-334
1,1,0.0245203,FRAY 1,146,229,128,-335
1,1,0.0245435,FRAY 1,146,229,129,-336
1,1,0.0245783,FRAY 1,146,229,130,-337
1,1,0.0246015,FRAY 1,146,229,131,-338
2,2,0.0246306,FRAY 1,146,229,133,-340
2,4,0.0246716,FRAY 1,146,229,135,-344
4,2,0.0247002,FRAY 1,146,229,139,-346
2,2,0.0247234,FRAY 1,146,229,141,-348
2,2,0.0247525,FRAY 1,146,229,143,-350
2,1,0.0247873,FRAY 1,146,229,145,-351
1,1,0.0248279,FRAY 1,146,229,146,-352
1,1,0.024857,FRAY 1,146,229,147,-353
-1,1,0.0248744,FRAY 1,146,229,146,-354
-2,1,0.0249034,FRAY 1,146,229,144,-355
-1,1,0.0249673,FRAY 1,146,229,143,-356
-1,-2,0.0309116,SAN- 2,190,183,142,-354
-1,-1,0.0309348,SAN- 2,190,183,141,-353
-1,-3,0.0309696,SAN- 2,190,183,140,-350
-1,-3,0.0309986,SAN- 2,190,183,139,-347
-1,-3,0.0310277,SAN- 2,190,183,138,-344
-1,-3,0.0310393,SAN- 2,190,183,137,-341
-1,-3,0.0310625,SAN- 2,190,183,136,-338
-1,-2,0.0310915,SAN- 2,190,183,135,-336
-1,-3,0.0311205,SAN- 2,190,183,134,-333
1,-3,0.0311554,SAN- 2,190,183,135,-330
1,-3,0.0311844,SAN- 2,190,183,136,-327
1,-3,0.031196,SAN- 2,190,183,137,-324
1,-2,0.031225,SAN- 2,190,183,138,-322
1,-3,0.0312483,SAN- 2,190,183,139,-319
1,-3,0.0312715,SAN- 2,190,183,140,-316
1,-3,0.0313063,SAN- 2,190,183,141,-313
1,-3,0.0313353,SAN- 2,190,183,142,-310
1,-2,0.0313469,SAN- 2,190,183,143,-308
1,-3,0.0313702,SAN- 2,190,183,144,-305
1,-3,0.0313992,SAN- 2,190,183,145,-302
1,-3,0.0314267,SAN- 2,190,183,146,-299
1,-3,0.0314572,SAN- 2,190,183,147,-296
1,-3,0.0314863,SAN- 2,190,183,148,-293
1,-2,0.0314979,SAN- 2,190,183,149,-291
1,-3,0.0315211,SAN- 2,190,183,150,-288
1,-3,0.0315532,SAN- 2,190,183,151,-285
1,-3,0.0315791,SAN- 2,190,183,152,-282
