deltaX,deltaY,WHEN,SYLLABLE,XofButton,YofButton,XofTrace,YofTrace
-1,1,0.0342184,Yield,0,0,-1,-1
-2,1,0.0342494,Yield,0,0,-3,-2
-2,2,0.0342843,Yield,0,0,-5,-4
-3,2,0.0343133,Yield,0,0,-8,-6
-3,3,0.0343231,Yield,0,0,-11,-9
-2,3,0.0343481,Yield,0,0,-13,-12
-3,3,0.0343771,Yield,0,0,-16,-15
-4,2,0.034412,Yield,0,0,-20,-17
-4,6,0.034441,Yield,0,0,-24,-23
-7,3,0.0344758,Yield,0,0,-31,-26
-4,3,0.0345057,Yield,0,0,-35,-29
-4,2,0.0345397,Yield,0,0,-39,-31
-3,8,0.0345687,Yield,0,0,-42,-39
-8,4,0.0345977,Yield,0,0,-50,-43
-4,3,0.034621,Yield,0,0,-54,-46
-3,4,0.03465,Yield,0,0,-57,-50
-4,4,0.0346732,Yield,0,0,-61,-54
-4,4,0.0346964,Yield,0,0,-65,-58
-4,3,0.0347138,Yield,0,0,-69,-61
-3,3,0.0347487,Yield,0,0,-72,-64
-4,3,0.0347777,Yield,0,0,-76,-67
-4,3,0.0347893,Yield,0,0,-80,-70
-4,3,0.0348125,Yield,0,0,-84,-73
-3,2,0.0348473,Yield,0,0,-87,-75
-4,3,0.0348648,Yield,0,0,-91,-78
-4,3,0.0348996,Yield,0,0,-95,-81
-4,2,0.0349228,Yield,0,0,-99,-83
-3,2,0.0349344,Yield,0,0,-102,-85
-4,1,0.034946,Yield,0,0,-106,-86
-4,1,0.0349809,Yield,0,0,-110,-87
-4,-1,0.0350505,Yield,0,0,-114,-86
-4,-1,0.0350854,Yield,0,0,-118,-85
-4,-1,0.0351005,Yield,0,0,-122,-84
-3,-1,0.0351376,Yield,0,0,-125,-83
-4,-2,0.0351666,Yield,0,0,-129,-81
-4,-2,0.0351782,Yield,0,0,-133,-79
-4,-2,0.0352015,Yield,0,0,-137,-77
-3,-2,0.0352305,Yield,0,0,-140,-75
-4,-1,0.0352711,Yield,0,0,-144,-74
-4,-2,0.0352943,Yield,0,0,-148,-72
-4,-6,0.035335,Yield,0,0,-152,-66
-5,-3,0.035364,Yield,0,0,-157,-63
-3,-3,0.0354046,Yield,0,0,-160,-60
-3,-2,0.0354104,Yield,0,0,-163,-58
-3,-3,0.0354278,Yield,0,0,-166,-55
-2,-3,0.0354511,Yield,0,0,-168,-52
-3,-3,0.0354834,Yield,0,0,-171,-49
-3,-3,0.0355149,Yield,0,0,-174,-46
-3,-2,0.0355498,Yield,0,0,-177,-44
-3,-3,0.0355556,Yield,0,0,-180,-41
-3,-3,0.0355788,Yield,0,0,-183,-38
-2,-3,0.0356136,Yield,0,0,-185,-35
-2,-3,0.0356368,Yield,0,0,-187,-32
-2,-2,0.0356659,Yield,0,0,-189,-30
-2,-3,0.0356833,Yield,0,0,-191,-27
-2,-3,0.0357181,Yield,0,0,-193,-24
-2,-3,0.0357471,Yield,0,0,-195,-21
-2,-3,0.035782,Yield,0,0,-197,-18
-1,-5,0.0358138,Yield,0,0,-198,-13
-4,-3,0.0358516,Yield,0,0,-202,-10
-1,-3,0.035869,Yield,0,0,-203,-7
-1,-3,0.035898,Yield,0,0,-204,-4
-1,-3,0.0359155,Yield,0,0,-205,-1
-1,-2,0.0359329,Yield,0,0,-206,1
-1,-3,0.0359619,Yield,0,0,-207,4
-1,-3,0.0359851,Yield,0,0,-208,7
-1,-3,0.03602,Yield,0,0,-209,10
-1,-3,0.0360432,Yield,0,0,-210,13
-1,-5,0.0360896,Yield,0,0,-211,18
-1,-3,0.0361186,Yield,0,0,-212,21
-1,-3,0.0361477,Yield,0,0,-213,24
-1,-3,0.0361883,Yield,0,0,-214,27
-1,-5,0.0362204,Yield,0,0,-215,32
-1,-3,0.0362347,Yield,0,0,-216,35
-1,-3,0.0362696,Yield,0,0,-217,38
-1,-3,0.0362986,Yield,0,0,-218,41
-1,-3,0.0363334,Yield,0,0,-219,44
-1,-2,0.036345,Yield,0,0,-220,46
1,-3,0.0363624,Yield,0,0,-219,49
1,-3,0.0364089,Yield,0,0,-218,52
1,-3,0.0364379,Yield,0,0,-217,55
1,-5,0.0364669,Yield,0,0,-216,60
2,-3,0.036496,Yield,0,0,-214,63
1,-3,0.0365308,Yield,0,0,-213,66
1,-3,0.0365431,Yield,0,0,-212,69
1,-3,0.0365647,Yield,0,0,-211,72
1,-3,0.036583,Yield,0,0,-210,75
1,-2,0.0366179,Yield,0,0,-209,77
1,-3,0.0366469,Yield,0,0,-208,80
1,-3,0.0366817,Yield,0,0,-207,83
1,-6,0.0367166,Yield,0,0,-206,89
2,-2,0.0367456,Yield,0,0,-204,91
1,-3,0.0367862,Yield,0,0,-203,94
1,-3,0.0368152,Yield,0,0,-202,97
1,-6,0.0368443,Yield,0,0,-201,103
2,-5,0.0368907,Yield,0,0,-199,108
2,-3,0.0369081,Yield,0,0,-197,111
1,-2,0.0369313,Yield,0,0,-196,113
1,-2,0.0369604,Yield,0,0,-195,115
1,-2,0.037001,Yield,0,0,-194,117
2,-3,0.0370358,Yield,0,0,-192,120
3,-2,0.0370649,Yield,0,0,-189,122
2,-2,0.0370997,Yield,0,0,-187,124
2,-4,0.0371287,Yield,0,0,-185,128
4,-2,0.0371635,Yield,0,0,-181,130
2,-2,0.0371868,Yield,0,0,-179,132
2,-1,0.0372216,Yield,0,0,-177,133
1,-1,0.0372506,Yield,0,0,-176,134
2,-1,0.0372823,Yield,0,0,-174,135
-1,-2,0.0374248,Yield,0,0,-175,137
-2,-3,0.0374712,Yield,0,0,-177,140
-4,-2,0.037506,Yield,0,0,-181,142
-3,-1,0.0375467,Yield,0,0,-184,143
-2,-2,0.0375699,Yield,0,0,-186,145
-3,-5,0.037606,Yield,0,0,-189,150
-6,-3,0.0376395,Yield,0,0,-195,153
-4,-5,0.0376744,Yield,0,0,-199,158
-7,-3,0.0377034,Yield,0,0,-206,161
-4,-3,0.037744,Yield,0,0,-210,164
-4,-3,0.0377789,Yield,0,0,-214,167
-3,-5,0.0378056,Yield,0,0,-217,172
-8,-3,0.0378369,Yield,0,0,-225,175
-4,-5,0.0379043,Yield,0,0,-229,180
-7,-3,0.0379356,Yield,0,0,-236,183
-4,-3,0.0379704,Yield,0,0,-240,186
-4,-6,0.0380053,Yield,0,0,-244,192
-7,-2,0.0380401,Yield,0,0,-251,194
-4,-3,0.0380691,Yield,0,0,-255,197
-4,-6,0.0380923,Yield,0,0,-259,203
-7,-3,0.0381272,Yield,0,0,-266,206
-3,-3,0.038162,Yield,0,0,-269,209
-3,-5,0.0381968,Yield,0,0,-272,214
-3,-2,0.0382259,Yield,0,0,-275,216
-3,-2,0.0382491,Yield,0,0,-278,218
-3,-1,0.0382723,Yield,0,0,-281,219
-3,-1,0.0382897,Yield,0,0,-284,220
2,1,0.0383768,Yield,0,0,-282,219
2,1,0.0384116,Yield,0,0,-280,218
3,1,0.0384174,Yield,0,0,-277,217
3,1,0.0384406,Yield,0,0,-274,216
2,1,0.0384719,Yield,0,0,-272,215
3,1,0.0385045,Yield,0,0,-269,214
3,1,0.0385393,Yield,0,0,-266,213
3,2,0.0385683,Yield,0,0,-263,211
5,1,0.0386032,Yield,0,0,-258,210
3,1,0.0386322,Yield,0,0,-255,209
3,1,0.038667,Yield,0,0,-252,208
6,1,0.0387077,Yield,0,0,-246,207
2,1,0.0387367,Yield,0,0,-244,206
3,2,0.0387691,Yield,0,0,-241,204
6,1,0.0388005,Yield,0,0,-235,203
3,1,0.0388354,Yield,0,0,-232,202
3,2,0.0388644,Yield,0,0,-229,200
2,2,0.0388818,Yield,0,0,-227,198
3,4,0.0389108,Yield,0,0,-224,194
6,1,0.0389369,Yield,0,0,-218,193
3,2,0.0389631,Yield,0,0,-215,191
2,2,0.0389921,Yield,0,0,-213,189
3,2,0.0390385,Yield,0,0,-210,187
3,4,0.0390618,Yield,0,0,-207,183
6,2,0.0390908,Yield,0,0,-201,181
2,2,0.039114,Yield,0,0,-199,179
3,1,0.039143,Yield,0,0,-196,178
3,2,0.0391779,Yield,0,0,-193,176
3,2,0.0391953,Yield,0,0,-190,174
3,2,0.0392185,Yield,0,0,-187,172
2,3,0.0392475,Yield,0,0,-185,169
3,3,0.0392882,Yield,0,0,-182,166
3,3,0.0393114,Yield,0,0,-179,163
3,2,0.0393288,Yield,0,0,-176,161
3,3,0.0393404,Yield,0,0,-173,158
3,3,0.0393636,Yield,0,0,-170,155
2,3,0.0393927,Yield,0,0,-168,152
3,3,0.0394217,Yield,0,0,-165,149
3,2,0.0394275,Yield,0,0,-162,147
3,3,0.0394565,Yield,0,0,-159,144
3,3,0.0394855,Yield,0,0,-156,141
2,3,0.0395249,Yield,0,0,-154,138
3,3,0.0395494,Yield,0,0,-151,135
3,2,0.0395726,Yield,0,0,-148,133
3,3,0.0395801,Yield,0,0,-145,130
3,3,0.0396016,Yield,0,0,-142,127
2,3,0.0396365,Yield,0,0,-140,124
