deltaX,deltaY,WHEN,SYLLABLE,XofButton,YofButton,XofTrace,YofTrace
-3,-1,0.0312889,Yield,0,0,-3,1
-3,-1,0.0313237,Yield,0,0,-6,2
-3,-2,0.0313469,Yield,0,0,-9,4
-5,-2,0.0313702,Yield,0,0,-14,6
-3,-2,0.0314108,Yield,0,0,-17,8
-3,-4,0.0314514,Yield,0,0,-20,12
-5,-1,0.0314812,Yield,0,0,-25,13
-3,-2,0.0315153,Yield,0,0,-28,15
-3,-2,0.0315269,Yield,0,0,-31,17
-3,-2,0.0315617,Yield,0,0,-34,19
-3,-1,0.0315849,Yield,0,0,-37,20
-3,-1,0.0315966,Yield,0,0,-40,21
-2,-1,0.0316256,Yield,0,0,-42,22
-3,-1,0.0316604,Yield,0,0,-45,23
-3,-2,0.0316952,Yield,0,0,-48,25
-6,-1,0.0317243,Yield,0,0,-54,26
-2,-1,0.0317591,Yield,0,0,-56,27
-2,1,0.0320261,Yield,0,0,-58,26
-5,1,0.032061,Yield,0,0,-63,25
-2,1,0.0320958,Yield,0,0,-65,24
-2,2,0.0321306,Yield,0,0,-67,22
-2,1,0.0321596,Yield,0,0,-69,21
-2,1,0.0321945,Yield,0,0,-71,20
-1,-1,0.0335528,Yield,0,0,-72,21
-2,-1,0.0335802,Yield,0,0,-74,22
-1,-1,0.0336019,Yield,0,0,-75,23
-1,1,0.046498,FRAY 1,22,359,-76,22
-1,2,0.0465212,FRAY 1,22,359,-77,20
-1,2,0.0465618,FRAY 1,22,359,-78,18
-1,4,0.0465966,FRAY 1,22,359,-79,14
-2,2,0.0466257,FRAY 1,22,359,-81,12
-1,1,0.0466605,FRAY 1,22,359,-82,11
-1,2,0.0467011,FRAY 1,22,359,-83,9
-1,4,0.0467244,FRAY 1,22,359,-84,5
-1,2,0.046765,FRAY 1,22,359,-85,3
-1,2,0.046794,FRAY 1,22,359,-86,1
-1,2,0.0468056,FRAY 1,22,359,-87,-1
-1,2,0.0468346,FRAY 1,22,359,-88,-3
-1,2,0.0468521,FRAY 1,22,359,-89,-5
-1,3,0.0468695,FRAY 1,22,359,-90,-8
-1,3,0.0468985,FRAY 1,22,359,-91,-11
-1,6,0.0469391,FRAY 1,22,359,-92,-17
-2,2,0.0469682,FRAY 1,22,359,-94,-19
-2,3,0.047003,FRAY 1,22,359,-96,-22
-2,3,0.047032,FRAY 1,22,359,-98,-25
-1,3,0.047061,FRAY 1,22,359,-99,-28
