deltaX,deltaY,WHEN,SYLLABLE,XofButton,YofButton,XofTrace,YofTrace
1,-1,0.0633382,Yield,0,0,1,1
2,-1,0.0633731,Yield,0,0,3,2
2,-1,0.0634021,Yield,0,0,5,3
2,-1,0.0634079,Yield,0,0,7,4
2,-1,0.0634601,Yield,0,0,9,5
2,-1,0.0634776,Yield,0,0,11,6
-1,-1,0.0640406,Yield,0,0,10,7
-1,-1,0.0640929,Yield,0,0,9,8
-1,-2,0.0640987,Yield,0,0,8,10
-1,-3,0.0641277,Yield,0,0,7,13
-2,-3,0.0641567,Yield,0,0,5,16
-2,-3,0.0641683,Yield,0,0,3,19
-3,-3,0.0641858,Yield,0,0,0,22
-4,-1,0.064209,Yield,0,0,-4,23
-4,-2,0.0642206,Yield,0,0,-8,25
-4,-1,0.0642496,Yield,0,0,-12,26
-3,-1,0.0642844,Yield,0,0,-15,27
-4,-1,0.0643077,Yield,0,0,-19,28
-4,1,0.0643947,Yield,0,0,-23,27
-4,1,0.0644354,Yield,0,0,-27,26
-4,1,0.0644425,Yield,0,0,-31,25
-3,1,0.064476,Yield,0,0,-34,24
-4,1,0.0644992,Yield,0,0,-38,23
-4,1,0.0645573,Yield,0,0,-42,22
-3,1,0.0645863,Yield,0,0,-45,21
-4,1,0.0647488,Yield,0,0,-49,20
-3,1,0.0647721,Yield,0,0,-52,19
-4,2,0.0647779,Yield,0,0,-56,17
-4,2,0.0648185,Yield,0,0,-60,15
-4,2,0.0648243,Yield,0,0,-64,13
-3,2,0.0648417,Yield,0,0,-67,11
-4,2,0.0648766,Yield,0,0,-71,9
-4,2,0.0649114,Yield,0,0,-75,7
-3,3,0.0649288,Yield,0,0,-78,4
-4,3,0.0649404,Yield,0,0,-82,1
-4,3,0.0649694,Yield,0,0,-86,-2
-4,3,0.0650101,Yield,0,0,-90,-5
-3,2,0.0650333,Yield,0,0,-93,-7
-4,6,0.0650623,Yield,0,0,-97,-13
-8,3,0.0650913,Yield,0,0,-105,-16
-3,3,0.0651029,Yield,0,0,-108,-19
-4,3,0.065132,Yield,0,0,-112,-22
-4,2,0.065161,Yield,0,0,-116,-24
-4,3,0.0651958,Yield,0,0,-120,-27
-3,3,0.0652016,Yield,0,0,-123,-30
-4,3,0.0652365,Yield,0,0,-127,-33
-4,3,0.0652423,Yield,0,0,-131,-36
-4,2,0.0652771,Yield,0,0,-135,-38
-3,2,0.0653061,Yield,0,0,-138,-40
-4,1,0.0653293,Yield,0,0,-142,-41
-4,1,0.0653351,Yield,0,0,-146,-42
-4,1,0.06537,Yield,0,0,-150,-43
-4,-1,0.0654338,Yield,0,0,-154,-42
-4,-1,0.0654571,Yield,0,0,-158,-41
-3,-2,0.0654803,Yield,0,0,-161,-39
-4,-2,0.0654977,Yield,0,0,-165,-37
-4,-1,0.0655267,Yield,0,0,-169,-36
-4,-2,0.0655615,Yield,0,0,-173,-34
-3,-2,0.065579,Yield,0,0,-176,-32
-4,-3,0.0655964,Yield,0,0,-180,-29
-4,-3,0.0656254,Yield,0,0,-184,-26
-4,-3,0.065637,Yield,0,0,-188,-23
-3,-2,0.0656718,Yield,0,0,-191,-21
-4,-2,0.0656951,Yield,0,0,-195,-19
-4,-2,0.0657241,Yield,0,0,-199,-17
-4,-1,0.0657415,Yield,0,0,-203,-16
-3,-1,0.0657589,Yield,0,0,-206,-15
-4,1,0.0657937,Yield,0,0,-210,-16
-4,2,0.0658228,Yield,0,0,-214,-18
-4,2,0.0658344,Yield,0,0,-218,-20
-2,2,0.0658634,Yield,0,0,-220,-22
-2,3,0.0658692,Yield,0,0,-222,-25
-2,3,0.065904,Yield,0,0,-224,-28
1,4,0.0659331,Yield,0,0,-223,-32
1,4,0.0659505,Yield,0,0,-222,-36
2,2,0.0659853,Yield,0,0,-220,-38
2,3,0.0659969,Yield,0,0,-218,-41
3,3,0.0660376,Yield,0,0,-215,-44
3,3,0.0660724,Yield,0,0,-212,-47
1,-1,0.0661478,Yield,0,0,-211,-46
1,-1,0.0661769,Yield,0,0,-210,-45
1,-1,0.0662117,Yield,0,0,-209,-44
-1,1,0.0663104,Yield,0,0,-210,-45
1,1,0.0663394,Yield,0,0,-209,-46
2,1,0.0663626,Yield,0,0,-207,-47
1,1,0.0663975,Yield,0,0,-206,-48
2,1,0.0664265,Yield,0,0,-204,-49
3,1,0.0664729,Yield,0,0,-201,-50
3,1,0.0664729,Yield,0,0,-198,-51
3,-1,0.0665832,Yield,0,0,-195,-50
2,-2,0.0666122,Yield,0,0,-193,-48
2,-2,0.0666239,Yield,0,0,-191,-46
2,-2,0.0666471,Yield,0,0,-189,-44
1,-2,0.0666761,Yield,0,0,-188,-42
1,-2,0.0667109,Yield,0,0,-187,-40
2,-2,0.0667341,Yield,0,0,-185,-38
1,-3,0.0667574,Yield,0,0,-184,-35
2,-3,0.0667748,Yield,0,0,-182,-32
2,-3,0.066798,Yield,0,0,-180,-29
3,-3,0.066827,Yield,0,0,-177,-26
3,-2,0.0668619,Yield,0,0,-174,-24
