deltaX,deltaY,WHEN,SYLLABLE,XofButton,YofButton,XofTrace,YofTrace
0,-1,0.0168287,Yield,0,0,0,1
0,-1,0.0168519,Yield,0,0,0,2
0,-2,0.0168867,Yield,0,0,0,4
1,-5,0.0169273,Yield,0,0,1,9
3,-3,0.0169564,Yield,0,0,4,12
2,-2,0.0169912,Yield,0,0,6,14
1,-3,0.0170202,Yield,0,0,7,17
2,-5,0.0170609,Yield,0,0,9,22
5,-2,0.0170957,Yield,0,0,14,24
2,-2,0.0171247,Yield,0,0,16,26
2,-2,0.0171328,Yield,0,0,18,28
1,-1,0.0171654,Yield,0,0,19,29
1,-2,0.0171886,Yield,0,0,20,31
1,-1,0.017206,Yield,0,0,21,32
-1,-1,0.0172292,Yield,0,0,20,33
-2,-1,0.0172524,Yield,0,0,18,34
-3,-1,0.0173569,Yield,0,0,15,35
-5,-1,0.0173917,Yield,0,0,10,36
-3,-1,0.0174324,Yield,0,0,7,37
-3,-1,0.0174614,Yield,0,0,4,38
-2,-1,0.0174904,Yield,0,0,2,39
1,1,0.0175659,Yield,0,0,3,38
2,1,0.0175659,Yield,0,0,5,37
2,1,0.0176181,Yield,0,0,7,36
2,1,0.0176298,Yield,0,0,9,35
3,1,0.017653,Yield,0,0,12,34
3,1,0.0176762,Yield,0,0,15,33
3,1,0.0177168,Yield,0,0,18,32
3,1,0.0177517,Yield,0,0,21,31
2,1,0.0177691,Yield,0,0,23,30
-1,-1,0.0178794,Yield,0,0,22,31
-3,-1,0.0178852,Yield,0,0,19,32
-3,-1,0.01792,Yield,0,0,16,33
-3,-1,0.017949,Yield,0,0,13,34
-4,-1,0.0179839,Yield,0,0,9,35
-4,-2,0.0180129,Yield,0,0,5,37
-7,-1,0.0180303,Yield,0,0,-2,38
-4,-1,0.0180593,Yield,0,0,-6,39
-4,-1,0.0180941,Yield,0,0,-10,40
-4,1,0.0184947,Yield,0,0,-14,39
-4,1,0.0185121,Yield,0,0,-18,38
-3,1,0.0185411,Yield,0,0,-21,37
-4,1,0.0185733,Yield,0,0,-25,36
-4,1,0.018605,Yield,0,0,-29,35
-4,1,0.0186166,Yield,0,0,-33,34
-3,1,0.0186456,Yield,0,0,-36,33
-4,1,0.0186688,Yield,0,0,-40,32
-4,1,0.0187095,Yield,0,0,-44,31
-4,2,0.0187443,Yield,0,0,-48,29
-7,1,0.0187733,Yield,0,0,-55,28
-4,1,0.018814,Yield,0,0,-59,27
-3,1,0.0188488,Yield,0,0,-62,26
-4,1,0.0188778,Yield,0,0,-66,25
-4,1,0.0189649,Yield,0,0,-70,24
-4,1,0.0189997,Yield,0,0,-74,23
-4,1,0.0190055,Yield,0,0,-78,22
-3,2,0.0190404,Yield,0,0,-81,20
-3,2,0.0190636,Yield,0,0,-84,18
-3,2,0.0190868,Yield,0,0,-87,16
-2,2,0.0191216,Yield,0,0,-89,14
-1,1,0.0191507,Yield,0,0,-90,13
-1,3,0.0191623,Yield,0,0,-91,10
-1,3,0.0191913,Yield,0,0,-92,7
1,3,0.0192145,Yield,0,0,-91,4
1,3,0.019248,Yield,0,0,-90,1
1,2,0.0192726,Yield,0,0,-89,-1
1,1,0.0193016,Yield,0,0,-88,-2
1,2,0.0193132,Yield,0,0,-87,-4
1,2,0.0193364,Yield,0,0,-86,-6
1,1,0.0193654,Yield,0,0,-85,-7
1,1,0.0194003,Yield,0,0,-84,-8
-1,1,0.0194409,Yield,0,0,-85,-9
-1,1,0.0194699,Yield,0,0,-86,-10
-1,1,0.0195048,Yield,0,0,-87,-11
-1,1,0.0195338,Yield,0,0,-88,-12
-1,1,0.0315907,FRAY 1,348,103,-89,-13
2,2,0.031614,FRAY 1,348,103,-87,-15
1,2,0.0316372,FRAY 1,348,103,-86,-17
3,2,0.0316546,FRAY 1,348,103,-83,-19
3,3,0.0316952,FRAY 1,348,103,-80,-22
3,3,0.0317185,FRAY 1,348,103,-77,-25
3,3,0.0317359,FRAY 1,348,103,-74,-28
3,4,0.0317591,FRAY 1,348,103,-71,-32
2,3,0.0317881,FRAY 1,348,103,-69,-35
3,4,0.0318288,FRAY 1,348,103,-66,-39
3,4,0.0318288,FRAY 1,348,103,-63,-43
3,4,0.0318578,FRAY 1,348,103,-60,-47
3,3,0.0318868,FRAY 1,348,103,-57,-50
2,4,0.03191,FRAY 1,348,103,-55,-54
3,4,0.0319449,FRAY 1,348,103,-52,-58
3,4,0.0319739,FRAY 1,348,103,-49,-62
3,3,0.0319855,FRAY 1,348,103,-46,-65
3,4,0.0320087,FRAY 1,348,103,-43,-69
2,4,0.0320377,FRAY 1,348,103,-41,-73
3,4,0.0320551,FRAY 1,348,103,-38,-77
3,3,0.0320784,FRAY 1,348,103,-35,-80
3,4,0.032119,FRAY 1,348,103,-32,-84
3,3,0.0321248,FRAY 1,348,103,-29,-87
3,3,0.0321536,FRAY 1,348,103,-26,-90
1,2,0.0321829,FRAY 1,348,103,-25,-92
1,1,0.0322177,FRAY 1,348,103,-24,-93
1,1,0.0322525,FRAY 1,348,103,-23,-94
3,1,0.0324325,FRAY 1,348,103,-20,-95
