dX,dY,WHEN,SYLLABLE,X,Y,cX,cY
0,1,0.0157315,Yield,0,0,0,-1
-1,1,0.0157605,Yield,0,0,-1,-2
-1,1,0.0157954,Yield,0,0,-2,-3
-1,2,0.015807,Yield,0,0,-3,-5
-2,3,0.015836,Yield,0,0,-5,-8
-3,3,0.0158534,Yield,0,0,-8,-11
-3,3,0.0158766,Yield,0,0,-11,-14
-4,2,0.0159115,Yield,0,0,-15,-16
-3,3,0.0159289,Yield,0,0,-18,-19
-4,3,0.0159579,Yield,0,0,-22,-22
-4,3,0.0159869,Yield,0,0,-26,-25
-4,4,0.0160064,Yield,0,0,-30,-29
-3,3,0.0160276,Yield,0,0,-33,-32
-4,4,0.0160508,Yield,0,0,-37,-36
-4,4,0.0160856,Yield,0,0,-41,-40
-4,3,0.0161146,Yield,0,0,-45,-43
-3,5,0.0161553,Yield,0,0,-48,-48
-8,3,0.0161785,Yield,0,0,-56,-51
-4,3,0.0162017,Yield,0,0,-60,-54
-3,3,0.0162366,Yield,0,0,-63,-57
-4,3,0.0162656,Yield,0,0,-67,-60
-4,5,0.0163062,Yield,0,0,-71,-65
-7,2,0.016341,Yield,0,0,-78,-67
-4,2,0.0163527,Yield,0,0,-82,-69
-4,2,0.0163875,Yield,0,0,-86,-71
-4,1,0.0164223,Yield,0,0,-90,-72
-3,1,0.0164513,Yield,0,0,-93,-73
-4,1,0.0164629,Yield,0,0,-97,-74
-4,1,0.0164846,Yield,0,0,-101,-75
-3,1,0.0165094,Yield,0,0,-104,-76
-4,1,0.0165732,Yield,0,0,-108,-77
-4,1,0.0166023,Yield,0,0,-112,-78
-3,1,0.0166139,Yield,0,0,-115,-79
-4,1,0.0166371,Yield,0,0,-119,-80
-4,1,0.0166661,Yield,0,0,-123,-81
-1,-1,0.0168229,Yield,0,0,-124,-80
-1,-2,0.0168619,Yield,0,0,-125,-78
-1,-2,0.0169099,Yield,0,0,-126,-76
-1,-2,0.0169215,Yield,0,0,-127,-74
-1,-2,0.016939,Yield,0,0,-128,-72
-2,-3,0.0169738,Yield,0,0,-130,-69
-2,-3,0.0170028,Yield,0,0,-132,-66
-2,-3,0.0170121,Yield,0,0,-134,-63
-3,-3,0.0170376,Yield,0,0,-137,-60
-3,-2,0.0170667,Yield,0,0,-140,-58
-3,-3,0.0170899,Yield,0,0,-143,-55
-3,-3,0.0171247,Yield,0,0,-146,-52
-2,-3,0.0171537,Yield,0,0,-148,-49
-4,-3,0.0171654,Yield,0,0,-152,-46
-4,-3,0.0171886,Yield,0,0,-156,-43
-4,-2,0.0172176,Yield,0,0,-160,-41
-3,-3,0.0172524,Yield,0,0,-163,-38
-4,-3,0.0172815,Yield,0,0,-167,-35
-4,-3,0.0173047,Yield,0,0,-171,-32
-4,-3,0.0173221,Yield,0,0,-175,-29
-2,-2,0.0173395,Yield,0,0,-177,-27
-3,-3,0.0173685,Yield,0,0,-180,-24
-3,-3,0.0174034,Yield,0,0,-183,-21
-2,-3,0.0174382,Yield,0,0,-185,-18
-2,-3,0.017444,Yield,0,0,-187,-15
-1,-2,0.0174672,Yield,0,0,-188,-13
-1,-3,0.0174904,Yield,0,0,-189,-10
-1,-3,0.0175137,Yield,0,0,-190,-7
-1,-3,0.0175543,Yield,0,0,-191,-4
-1,-3,0.0175891,Yield,0,0,-192,-1
-1,-3,0.0175949,Yield,0,0,-193,2
-1,-2,0.0176181,Yield,0,0,-194,4
-1,-3,0.017653,Yield,0,0,-195,7
-1,-3,0.0176762,Yield,0,0,-196,10
-1,-2,0.0177052,Yield,0,0,-197,12
1,-2,0.0177226,Yield,0,0,-196,14
1,-2,0.0177459,Yield,0,0,-195,16
2,-1,0.0177691,Yield,0,0,-193,17
2,-2,0.0178039,Yield,0,0,-191,19
2,-2,0.0178329,Yield,0,0,-189,21
3,-1,0.0178445,Yield,0,0,-186,22
2,-1,0.0178713,Yield,0,0,-184,23
3,-1,0.017891,Yield,0,0,-181,24
3,-1,0.0179142,Yield,0,0,-178,25
3,-1,0.0179466,Yield,0,0,-175,26
3,-1,0.017978,Yield,0,0,-172,27
2,-1,0.0179839,Yield,0,0,-170,28
3,-1,0.0180187,Yield,0,0,-167,29
3,-2,0.0180419,Yield,0,0,-164,31
3,-1,0.0180651,Yield,0,0,-161,32
3,-2,0.0181,Yield,0,0,-158,34
2,-2,0.0181116,Yield,0,0,-156,36
3,-2,0.0181406,Yield,0,0,-153,38
3,-2,0.0181633,Yield,0,0,-150,40
3,-2,0.0181928,Yield,0,0,-147,42
3,-2,0.0182277,Yield,0,0,-144,44
3,-3,0.0182683,Yield,0,0,-141,47
4,-2,0.0182973,Yield,0,0,-137,49
2,-2,0.0183554,Yield,0,0,-135,51
1,-2,0.0183554,Yield,0,0,-134,53
1,-2,0.0183786,Yield,0,0,-133,55
-1,-2,0.0184076,Yield,0,0,-134,57
-2,-2,0.0184192,Yield,0,0,-136,59
-2,-1,0.0184483,Yield,0,0,-138,60
-2,-1,0.0184715,Yield,0,0,-140,61
-1,-1,0.0297854,FRAY 1,384,199,-141,62
2,-1,0.0298376,FRAY 1,384,199,-139,63
2,-1,0.0298725,FRAY 1,384,199,-137,64
2,-1,0.0299015,FRAY 1,384,199,-135,65
1,-1,0.0299363,FRAY 1,384,199,-134,66
2,1,0.0300408,FRAY 1,384,199,-132,65
2,1,0.0300698,FRAY 1,384,199,-130,64
2,2,0.0301047,FRAY 1,384,199,-128,62
3,1,0.0301105,FRAY 1,384,199,-125,61
3,3,0.0301221,FRAY 1,384,199,-122,58
3,3,0.0301511,FRAY 1,384,199,-119,55
3,3,0.0301859,FRAY 1,384,199,-116,52
3,3,0.0301917,FRAY 1,384,199,-113,49
2,3,0.0302433,FRAY 1,384,199,-111,46
3,4,0.0302498,FRAY 1,384,199,-108,42
3,4,0.030273,FRAY 1,384,199,-105,38
3,4,0.0303078,FRAY 1,384,199,-102,34
3,3,0.0303369,FRAY 1,384,199,-99,31
1,4,0.0303427,FRAY 1,384,199,-98,27
2,4,0.0303775,FRAY 1,384,199,-96,23
2,4,0.0304007,FRAY 1,384,199,-94,19
3,3,0.0304239,FRAY 1,384,199,-91,16
3,4,0.0304588,FRAY 1,384,199,-88,12
3,4,0.0304878,FRAY 1,384,199,-85,8
2,4,0.0304994,FRAY 1,384,199,-83,4
3,3,0.0305226,FRAY 1,384,199,-80,1
3,4,0.0305517,FRAY 1,384,199,-77,-3
3,4,0.0305865,FRAY 1,384,199,-74,-7
3,4,0.0306155,FRAY 1,384,199,-71,-11
3,3,0.0306387,FRAY 1,384,199,-68,-14
2,4,0.0306503,FRAY 1,384,199,-66,-18
3,4,0.0306736,FRAY 1,384,199,-63,-22
3,4,0.0307026,FRAY 1,384,199,-60,-26
3,3,0.0307374,FRAY 1,384,199,-57,-29
3,4,0.0307673,FRAY 1,384,199,-54,-33
2,8,0.0308071,FRAY 1,384,199,-52,-41
6,3,0.0308245,FRAY 1,384,199,-46,-44
3,4,0.0308593,FRAY 1,384,199,-43,-48
3,4,0.0308825,FRAY 1,384,199,-40,-52
2,4,0.0309232,FRAY 1,384,199,-38,-56
3,7,0.0309522,FRAY 1,384,199,-35,-63
6,4,0.030987,FRAY 1,384,199,-29,-67
3,4,0.0310102,FRAY 1,384,199,-26,-71
2,3,0.0310335,FRAY 1,384,199,-24,-74
3,4,0.0310683,FRAY 1,384,199,-21,-78
3,4,0.0310799,FRAY 1,384,199,-18,-82
3,4,0.0311031,FRAY 1,384,199,-15,-86
3,3,0.031138,FRAY 1,384,199,-12,-89
3,4,0.0311612,FRAY 1,384,199,-9,-93
2,4,0.0311844,FRAY 1,384,199,-7,-97
3,4,0.0312192,FRAY 1,384,199,-4,-101
