deltaX,deltaY,WHEN,SYLLABLE,XofButton,YofButton,XofTrace,YofTrace
0,1,0.058375,Yield,0,0,0,-1
0,-1,0.0584737,Yield,0,0,0,0
-2,-1,0.0585143,Yield,0,0,-2,1
-2,-2,0.0585433,Yield,0,0,-4,3
-3,-3,0.0585781,Yield,0,0,-7,6
-8,-3,0.0586072,Yield,0,0,-15,9
-3,-3,0.0586246,Yield,0,0,-18,12
-4,-3,0.0586594,Yield,0,0,-22,15
-4,-3,0.058671,Yield,0,0,-26,18
-4,-3,0.0587233,Yield,0,0,-30,21
-3,-2,0.0587291,Yield,0,0,-33,23
-4,-3,0.0587523,Yield,0,0,-37,26
-3,-2,0.0587871,Yield,0,0,-40,28
-3,-2,0.0588161,Yield,0,0,-43,30
-2,-2,0.0588278,Yield,0,0,-45,32
-2,-1,0.0588568,Yield,0,0,-47,33
-1,-1,0.0589148,Yield,0,0,-48,34
-1,-1,0.0589439,Yield,0,0,-49,35
-1,-2,0.0589787,Yield,0,0,-50,37
-2,-1,0.0590019,Yield,0,0,-52,38
-1,-1,0.0590309,Yield,0,0,-53,39
-2,-1,0.0590541,Yield,0,0,-55,40
-2,1,0.0591296,Yield,0,0,-57,39
-4,1,0.0591644,Yield,0,0,-61,38
-2,2,0.0591865,Yield,0,0,-63,36
-2,2,0.0592167,Yield,0,0,-65,34
-3,3,0.0592399,Yield,0,0,-68,31
-3,3,0.0592573,Yield,0,0,-71,28
-3,3,0.0592863,Yield,0,0,-74,25
-3,2,0.0593154,Yield,0,0,-77,23
-3,3,0.0593444,Yield,0,0,-80,20
-2,4,0.0593792,Yield,0,0,-82,16
-3,7,0.0594141,Yield,0,0,-85,9
-5,4,0.0594315,Yield,0,0,-90,5
-2,4,0.0594547,Yield,0,0,-92,1
-2,4,0.0594895,Yield,0,0,-94,-3
-2,2,0.0595185,Yield,0,0,-96,-5
-3,3,0.0595476,Yield,0,0,-99,-8
-3,3,0.0595629,Yield,0,0,-102,-11
-3,2,0.0595824,Yield,0,0,-105,-13
-3,2,0.0596114,Yield,0,0,-108,-15
-3,2,0.0596405,Yield,0,0,-111,-17
-4,2,0.0596753,Yield,0,0,-115,-19
-4,1,0.0596985,Yield,0,0,-119,-20
-4,2,0.0597043,Yield,0,0,-123,-22
-3,2,0.0597333,Yield,0,0,-126,-24
-4,2,0.0597566,Yield,0,0,-130,-26
-4,3,0.0597856,Yield,0,0,-134,-29
-4,3,0.059803,Yield,0,0,-138,-32
-3,3,0.0598494,Yield,0,0,-141,-35
-4,2,0.059861,Yield,0,0,-145,-37
-4,3,0.0598843,Yield,0,0,-149,-40
-4,3,0.0599075,Yield,0,0,-153,-43
-3,3,0.0599365,Yield,0,0,-156,-46
-3,3,0.0599539,Yield,0,0,-159,-49
-3,1,0.0600004,Yield,0,0,-162,-50
-3,2,0.060012,Yield,0,0,-165,-52
-3,2,0.0600352,Yield,0,0,-168,-54
-2,1,0.0600651,Yield,0,0,-170,-55
-3,1,0.0600897,Yield,0,0,-173,-56
-1,-1,0.0601861,Yield,0,0,-174,-55
-1,-1,0.06025,Yield,0,0,-175,-54
-1,-1,0.0602558,Yield,0,0,-176,-53
-1,-1,0.0603138,Yield,0,0,-177,-52
-1,-1,0.0603371,Yield,0,0,-178,-51
-1,-1,0.0603719,Yield,0,0,-179,-50
1,1,0.060488,Yield,0,0,-178,-51
1,1,0.0605168,Yield,0,0,-177,-52
1,1,0.0605518,Yield,0,0,-176,-53
1,1,0.0605867,Yield,0,0,-175,-54
1,1,0.0606099,Yield,0,0,-174,-55
2,-1,0.0611381,Yield,0,0,-172,-54
3,-1,0.0611672,Yield,0,0,-169,-53
3,-1,0.0611962,Yield,0,0,-166,-52
3,-1,0.0612194,Yield,0,0,-163,-51
2,-1,0.0612484,Yield,0,0,-161,-50
3,-1,0.0612833,Yield,0,0,-158,-49
3,-1,0.0612891,Yield,0,0,-155,-48
3,-1,0.0613239,Yield,0,0,-152,-47
3,-1,0.0613471,Yield,0,0,-149,-46
2,-1,0.0613645,Yield,0,0,-147,-45
3,-2,0.0614226,Yield,0,0,-144,-43
3,-2,0.0614342,Yield,0,0,-141,-41
3,-2,0.0614574,Yield,0,0,-138,-39
2,-2,0.0615039,Yield,0,0,-136,-37
3,-2,0.0615213,Yield,0,0,-133,-35
2,-3,0.0615445,Yield,0,0,-131,-32
1,-2,0.0615619,Yield,0,0,-130,-30
1,-3,0.0615851,Yield,0,0,-129,-27
-1,-3,0.0616083,Yield,0,0,-130,-24
-2,-3,0.0616374,Yield,0,0,-132,-21
-3,-3,0.0616722,Yield,0,0,-135,-18
-2,-5,0.0617186,Yield,0,0,-137,-13
-7,-3,0.0617419,Yield,0,0,-144,-10
-3,-3,0.0617673,Yield,0,0,-147,-7
-3,-3,0.0617999,Yield,0,0,-150,-4
-2,-3,0.0618231,Yield,0,0,-152,-1
-2,-2,0.0618405,Yield,0,0,-154,1
-1,-2,0.0618638,Yield,0,0,-155,3
-1,-2,0.0618986,Yield,0,0,-156,5
1,-3,0.0619334,Yield,0,0,-155,8
2,-3,0.0619508,Yield,0,0,-153,11
2,-3,0.0619741,Yield,0,0,-151,14
1,-2,0.0619915,Yield,0,0,-150,16
2,-2,0.0620147,Yield,0,0,-148,18
2,-2,0.0620379,Yield,0,0,-146,20
2,-2,0.0620785,Yield,0,0,-144,22
2,-2,0.0621018,Yield,0,0,-142,24
2,-1,0.0621134,Yield,0,0,-140,25
2,-1,0.0621424,Yield,0,0,-138,26
1,1,0.0622643,Yield,0,0,-137,25
-2,1,0.0623166,Yield,0,0,-139,24
-2,1,0.0623456,Yield,0,0,-141,23
-1,1,0.0623746,Yield,0,0,-142,22
-1,1,0.0624094,Yield,0,0,-143,21
-1,1,0.0624152,Yield,0,0,-144,20
-1,-1,0.0719006,FRAY 1,87,416,-145,21
1,-1,0.0719702,FRAY 1,87,416,-144,22
1,-1,0.0719761,FRAY 1,87,416,-143,23
1,-1,0.0720051,FRAY 1,87,416,-142,24
1,-1,0.0720747,FRAY 1,87,416,-141,25
-1,1,0.0722083,FRAY 1,87,416,-142,24
-1,2,0.0722373,FRAY 1,87,416,-143,22
-1,2,0.0722721,FRAY 1,87,416,-144,20
-1,3,0.0722779,FRAY 1,87,416,-145,17
-1,2,0.0723011,FRAY 1,87,416,-146,15
-1,3,0.072336,FRAY 1,87,416,-147,12
-2,4,0.072365,FRAY 1,87,416,-149,8
-2,4,0.0723998,FRAY 1,87,416,-151,4
-2,3,0.0724056,FRAY 1,87,416,-153,1
-2,4,0.0724405,FRAY 1,87,416,-155,-3
-2,4,0.0724637,FRAY 1,87,416,-157,-7
-2,4,0.0725043,FRAY 1,87,416,-159,-11
-1,7,0.0725391,FRAY 1,87,416,-160,-18
-3,4,0.0725682,FRAY 1,87,416,-163,-22
-1,4,0.072603,FRAY 1,87,416,-164,-26
-1,7,0.0726395,FRAY 1,87,416,-165,-33
1,4,0.0726668,FRAY 1,87,416,-164,-37
1,4,0.0726901,FRAY 1,87,416,-163,-41
2,3,0.0727133,FRAY 1,87,416,-161,-44
1,4,0.0727365,FRAY 1,87,416,-160,-48
2,4,0.0727597,FRAY 1,87,416,-158,-52
3,4,0.0728004,FRAY 1,87,416,-155,-56
3,3,0.0728178,FRAY 1,87,416,-152,-59
3,4,0.0728468,FRAY 1,87,416,-149,-63
3,4,0.0728642,FRAY 1,87,416,-146,-67
2,4,0.0728874,FRAY 1,87,416,-144,-71
2,3,0.0729107,FRAY 1,87,416,-142,-74
2,4,0.0729455,FRAY 1,87,416,-140,-78
1,4,0.0729629,FRAY 1,87,416,-139,-82
1,4,0.0730093,FRAY 1,87,416,-138,-86
-1,3,0.0730151,FRAY 1,87,416,-139,-89
-2,2,0.0730384,FRAY 1,87,416,-141,-91
-3,3,0.0730732,FRAY 1,87,416,-144,-94
-2,3,0.0730964,FRAY 1,87,416,-146,-97
-4,3,0.0731138,FRAY 1,87,416,-150,-100
-4,2,0.0731429,FRAY 1,87,416,-154,-102
-4,2,0.0731719,FRAY 1,87,416,-158,-104
-3,1,0.0731893,FRAY 1,87,416,-161,-105
-4,1,0.0732183,FRAY 1,87,416,-165,-106
-4,1,0.0732473,FRAY 1,87,416,-169,-107
-4,1,0.0732648,FRAY 1,87,416,-173,-108
-3,1,0.0732938,FRAY 1,87,416,-176,-109
-4,1,0.0733228,FRAY 1,87,416,-180,-110
-4,1,0.0733518,FRAY 1,87,416,-184,-111
-4,2,0.0733693,FRAY 1,87,416,-188,-113
-3,2,0.0733983,FRAY 1,87,416,-191,-115
-3,3,0.0734215,FRAY 1,87,416,-194,-118
-3,2,0.0734505,FRAY 1,87,416,-197,-120
-2,4,0.0734737,FRAY 1,87,416,-199,-124
-1,4,0.0735028,FRAY 1,87,416,-200,-128
-1,4,0.073526,FRAY 1,87,416,-201,-132
-1,3,0.073555,FRAY 1,87,416,-202,-135
-1,4,0.0735666,FRAY 1,87,416,-203,-139
-1,4,0.0735927,FRAY 1,87,416,-204,-143
-1,4,0.0736247,FRAY 1,87,416,-205,-147
-1,3,0.0736479,FRAY 1,87,416,-206,-150
-1,4,0.0736827,FRAY 1,87,416,-207,-154
-1,4,0.0737117,FRAY 1,87,416,-208,-158
-1,4,0.0737176,FRAY 1,87,416,-209,-162
-1,3,0.0737466,FRAY 1,87,416,-210,-165
-1,4,0.0737698,FRAY 1,87,416,-211,-169
1,4,0.0737988,FRAY 1,87,416,-210,-173
2,4,0.0738337,FRAY 1,87,416,-208,-177
2,7,0.0738743,FRAY 1,87,416,-206,-184
4,4,0.0738975,FRAY 1,87,416,-202,-188
2,4,0.0739381,FRAY 1,87,416,-200,-192
2,3,0.0739556,FRAY 1,87,416,-198,-195
2,4,0.0739846,FRAY 1,87,416,-196,-199
3,4,0.074002,FRAY 1,87,416,-193,-203
2,4,0.0740252,FRAY 1,87,416,-191,-207
2,3,0.0740484,FRAY 1,87,416,-189,-210
2,4,0.0740831,FRAY 1,87,416,-187,-214
1,4,0.0741065,FRAY 1,87,416,-186,-218
1,4,0.0741355,FRAY 1,87,416,-185,-222
-2,3,0.0741529,FRAY 1,87,416,-187,-225
-2,4,0.074182,FRAY 1,87,416,-189,-229
-3,4,0.0741994,FRAY 1,87,416,-192,-233
-3,4,0.0742342,FRAY 1,87,416,-195,-237
-3,3,0.0742574,FRAY 1,87,416,-198,-240
-4,4,0.0742864,FRAY 1,87,416,-202,-244
-4,4,0.0743039,FRAY 1,87,416,-206,-248
-3,4,0.0743329,FRAY 1,87,416,-209,-252
-2,3,0.0743445,FRAY 1,87,416,-211,-255
-2,4,0.0743735,FRAY 1,87,416,-213,-259
-1,4,0.0744083,FRAY 1,87,416,-214,-263
-1,4,0.0744432,FRAY 1,87,416,-215,-267
1,3,0.0744432,FRAY 1,87,416,-214,-270
1,4,0.0744664,FRAY 1,87,416,-213,-274
1,4,0.0744896,FRAY 1,87,416,-212,-278
1,4,0.0745128,FRAY 1,87,416,-211,-282
1,3,0.0745535,FRAY 1,87,416,-210,-285
1,4,0.0745593,FRAY 1,87,416,-209,-289
1,4,0.0745941,FRAY 1,87,416,-208,-293
1,4,0.0746173,FRAY 1,87,416,-207,-297
1,3,0.0746405,FRAY 1,87,416,-206,-300
1,4,0.0746638,FRAY 1,87,416,-205,-304
1,4,0.0746928,FRAY 1,87,416,-204,-308
1,4,0.0747044,FRAY 1,87,416,-203,-312
1,3,0.074745,FRAY 1,87,416,-202,-315
2,4,0.0747683,FRAY 1,87,416,-200,-319
2,4,0.0747915,FRAY 1,87,416,-198,-323
2,4,0.0748147,FRAY 1,87,416,-196,-327
2,3,0.0748495,FRAY 1,87,416,-194,-330
2,4,0.0748611,FRAY 1,87,416,-192,-334
1,4,0.0748902,FRAY 1,87,416,-191,-338
2,4,0.0749134,FRAY 1,87,416,-189,-342
2,3,0.0749366,FRAY 1,87,416,-187,-345
2,4,0.0749598,FRAY 1,87,416,-185,-349
2,4,0.074983,FRAY 1,87,416,-183,-353
3,4,0.0750063,FRAY 1,87,416,-180,-357
3,3,0.0750353,FRAY 1,87,416,-177,-360
2,4,0.0750643,FRAY 1,87,416,-175,-364
3,4,0.0750875,FRAY 1,87,416,-172,-368
3,4,0.0751107,FRAY 1,87,416,-169,-372
3,3,0.0751456,FRAY 1,87,416,-166,-375
