deltaX,deltaY,WHEN,SYLLABLE,XofButton,YofButton,XofTrace,YofTrace
0,-6,0.0876437,Yield,0,0,0,6
7,-3,0.0876495,Yield,0,0,7,9
5,-4,0.0876611,Yield,0,0,12,13
4,-3,0.0876785,Yield,0,0,16,16
3,-4,0.0877076,Yield,0,0,19,20
4,-2,0.0877192,Yield,0,0,23,22
2,-1,0.0877424,Yield,0,0,25,23
2,-1,0.0877656,Yield,0,0,27,24
1,1,0.0879049,Yield,0,0,28,23
1,1,0.0879107,Yield,0,0,29,22
1,3,0.0879456,Yield,0,0,30,19
5,3,0.0879572,Yield,0,0,35,16
2,7,0.0879746,Yield,0,0,37,9
5,6,0.088021,Yield,0,0,42,3
4,1,0.0884052,Yield,0,0,46,2
4,1,0.0884158,Yield,0,0,50,1
4,3,0.088439,Yield,0,0,54,-2
4,7,0.0884622,Yield,0,0,58,-9
7,4,0.0888454,Yield,0,0,65,-13
3,5,0.088857,Yield,0,0,68,-18
5,6,0.0888738,Yield,0,0,73,-24
5,12,0.0888976,Yield,0,0,78,-36
9,14,0.0889266,Yield,0,0,87,-50
9,6,0.0889382,Yield,0,0,96,-56
4,3,0.0892952,Yield,0,0,100,-59
2,3,0.0893039,Yield,0,0,102,-62
4,3,0.0893214,Yield,0,0,106,-65
3,9,0.0893504,Yield,0,0,109,-74
7,4,0.089362,Yield,0,0,116,-78
5,9,0.0893852,Yield,0,0,121,-87
7,8,0.0894142,Yield,0,0,128,-95
6,-1,0.0901747,Yield,0,0,134,-94
-2,-1,0.0901805,Yield,0,0,132,-93
-2,-1,0.0901979,Yield,0,0,130,-92
-1,-1,0.0902327,Yield,0,0,129,-91
-2,-1,0.0905346,Yield,0,0,127,-90
-4,-1,0.0905404,Yield,0,0,123,-89
-3,-2,0.0905694,Yield,0,0,120,-87
-5,-1,0.0905927,Yield,0,0,115,-86
-5,-1,0.0906217,Yield,0,0,110,-85
-4,1,0.0906961,Yield,0,0,106,-86
1,3,0.0919104,Yield,0,0,107,-89
4,3,0.0919162,Yield,0,0,111,-92
5,4,0.0919336,Yield,0,0,116,-96
6,10,0.0919684,Yield,0,0,122,-106
17,6,0.0924212,FRAY 1,264,187,139,-112
12,3,0.0924386,FRAY 1,264,187,151,-115
7,3,0.0924561,FRAY 1,264,187,158,-118
7,6,0.0924851,FRAY 1,264,187,165,-124
22,2,0.0925199,FRAY 1,264,187,187,-126
16,3,0.0925431,FRAY 1,264,187,203,-129
16,4,0.0925663,FRAY 1,264,187,219,-133
12,1,0.0925838,FRAY 1,264,187,231,-134
4,2,0.0928725,FRAY 1,264,187,235,-136
1,2,0.0928798,FRAY 1,264,187,236,-138
2,2,0.0928972,FRAY 1,264,187,238,-140
2,1,0.0929088,FRAY 1,264,187,240,-141
1,1,0.0929321,FRAY 1,264,187,241,-142
1,1,0.0929495,FRAY 1,264,187,242,-143
1,1,0.0929669,FRAY 1,264,187,243,-144
-2,1,0.0929843,FRAY 1,264,187,241,-145
-4,-1,0.0930133,FRAY 1,264,187,237,-144
-5,-3,0.0930307,FRAY 1,264,187,232,-141
-12,-3,0.0930656,FRAY 1,264,187,220,-138
-13,-2,0.0930714,FRAY 1,264,187,207,-136
-5,-5,0.0931062,FRAY 1,264,187,202,-131
-10,-2,0.0931178,FRAY 1,264,187,192,-129
-6,-1,0.0931527,FRAY 1,264,187,186,-128
-9,-1,0.0935764,FRAY 1,264,187,177,-127
-9,-2,0.0935938,FRAY 1,264,187,168,-125
-9,-2,0.0936054,FRAY 1,264,187,159,-123
-9,-2,0.0936171,FRAY 1,264,187,150,-121
-8,-3,0.0936403,FRAY 1,264,187,142,-118
-11,-2,0.0936577,FRAY 1,264,187,131,-116
-3,-3,0.093977,FRAY 1,264,187,128,-113
-7,-6,0.0940002,FRAY 1,264,187,121,-107
-18,-4,0.0940176,FRAY 1,264,187,103,-103
-11,-4,0.0940292,FRAY 1,264,187,92,-99
-11,-4,0.0940408,FRAY 1,264,187,81,-95
-12,-6,0.0940698,FRAY 1,264,187,69,-89
-20,-3,0.0941047,FRAY 1,264,187,49,-86
-14,-1,0.0941395,FRAY 1,264,187,35,-85
-4,-1,0.0981566,FRAY 1,264,187,31,-84
