dX,dY,WHEN,SYLLABLE,X,Y,cX,cY
-1,-1,0.00889905,Yield,0,0,-1,1
-1,-1,0.00891646,Yield,0,0,-2,2
-1,-1,0.00893968,Yield,0,0,-3,3
-1,-1,0.00899193,Yield,0,0,-4,4
-1,-2,0.00901934,Yield,0,0,-5,6
-1,-3,0.00905868,Yield,0,0,-6,9
-1,-1,0.009079,Yield,0,0,-7,10
-1,-1,0.00911964,Yield,0,0,-8,11
-1,-1,0.00913705,Yield,0,0,-9,12
-1,-1,0.00917769,Yield,0,0,-10,13
-1,-1,0.00921252,Yield,0,0,-11,14
-1,-1,0.00923574,Yield,0,0,-12,15
-1,-1,0.00928798,Yield,0,0,-13,16
-1,1,0.00957243,Yield,0,0,-14,15
-1,1,0.00959565,Yield,0,0,-15,14
-1,1,0.00968853,Yield,0,0,-16,13
-1,1,0.00972336,Yield,0,0,-17,12
-1,1,0.00975238,Yield,0,0,-18,11
-1,2,0.00979882,Yield,0,0,-19,9
-1,2,0.00982204,Yield,0,0,-20,7
-1,2,0.00983946,Yield,0,0,-21,5
-2,2,0.00987429,Yield,0,0,-23,3
-2,2,0.00990912,Yield,0,0,-25,1
-2,1,0.00991492,Yield,0,0,-27,0
-2,2,0.00994975,Yield,0,0,-29,-2
-3,2,0.00997297,Yield,0,0,-32,-4
-3,2,0.00999619,Yield,0,0,-35,-6
-3,2,0.0100252,Yield,0,0,-38,-8
-4,2,0.0100426,Yield,0,0,-42,-10
-3,2,0.0100659,Yield,0,0,-45,-12
-4,2,0.0100891,Yield,0,0,-49,-14
-4,1,0.0101239,Yield,0,0,-53,-15
-3,2,0.0101471,Yield,0,0,-56,-17
-2,2,0.0101761,Yield,0,0,-58,-19
-3,2,0.0101936,Yield,0,0,-61,-21
-3,2,0.0102168,Yield,0,0,-64,-23
-3,2,0.0102516,Yield,0,0,-67,-25
-3,2,0.0102748,Yield,0,0,-70,-27
-3,1,0.010298,Yield,0,0,-73,-28
-1,1,0.0103329,Yield,0,0,-74,-29
-2,1,0.0103735,Yield,0,0,-76,-30
-2,1,0.0103851,Yield,0,0,-78,-31
-2,1,0.0104141,Yield,0,0,-80,-32
-2,1,0.0104432,Yield,0,0,-82,-33
-1,1,0.010478,Yield,0,0,-83,-34
-1,1,0.0104896,Yield,0,0,-84,-35
-1,1,0.0105128,Yield,0,0,-85,-36
-1,1,0.0105535,Yield,0,0,-86,-37
-1,1,0.0105883,Yield,0,0,-87,-38
-1,1,0.0106173,Yield,0,0,-88,-39
-1,1,0.0106289,Yield,0,0,-89,-40
-1,1,0.0106812,Yield,0,0,-90,-41
-1,1,0.0107102,Yield,0,0,-91,-42
-1,1,0.0107392,Yield,0,0,-92,-43
-1,1,0.0107741,Yield,0,0,-93,-44
-2,1,0.0107857,Yield,0,0,-95,-45
-2,1,0.0108031,Yield,0,0,-97,-46
-2,-1,0.0109076,Yield,0,0,-99,-45
-3,-1,0.010925,Yield,0,0,-102,-44
-2,-1,0.010954,Yield,0,0,-104,-43
-3,-2,0.0109888,Yield,0,0,-107,-41
-3,-4,0.0110179,Yield,0,0,-110,-37
-5,-2,0.0110411,Yield,0,0,-115,-35
-2,-3,0.0110817,Yield,0,0,-117,-32
-1,-3,0.0110991,Yield,0,0,-118,-29
-2,-3,0.0111282,Yield,0,0,-120,-26
-1,-5,0.011163,Yield,0,0,-121,-21
-2,-3,0.011192,Yield,0,0,-123,-18
-1,-2,0.0112268,Yield,0,0,-124,-16
-1,-2,0.0112617,Yield,0,0,-125,-14
-1,-3,0.0112965,Yield,0,0,-126,-11
-2,-1,0.0113313,Yield,0,0,-128,-10
-1,1,0.0114939,Yield,0,0,-129,-11
-1,1,0.0115577,Yield,0,0,-130,-12
-1,1,0.0115868,Yield,0,0,-131,-13
1,-1,0.0166603,Yield,0,0,-130,-12
1,-1,0.0166835,Yield,0,0,-129,-11
1,-1,0.0167242,Yield,0,0,-128,-10
1,-1,0.01673,Yield,0,0,-127,-9
1,-2,0.016759,Yield,0,0,-126,-7
1,-2,0.0167938,Yield,0,0,-125,-5
1,-2,0.0168229,Yield,0,0,-124,-3
1,-2,0.0168635,Yield,0,0,-123,-1
1,-4,0.0168925,Yield,0,0,-122,3
-1,-1,0.0169273,Yield,0,0,-123,4
-1,-2,0.0169332,Yield,0,0,-124,6
-1,-2,0.0169738,Yield,0,0,-125,8
-1,-2,0.016997,Yield,0,0,-126,10
-2,-2,0.0170281,Yield,0,0,-128,12
-2,-2,0.0170376,Yield,0,0,-130,14
-2,-1,0.0170667,Yield,0,0,-132,15
-2,-1,0.0170899,Yield,0,0,-134,16
-1,-1,0.0171247,Yield,0,0,-135,17
-1,1,0.02578,FRAY 1,354,360,-136,16
1,2,0.0258322,FRAY 1,354,360,-135,14
1,2,0.0258554,FRAY 1,354,360,-134,12
2,3,0.0258728,FRAY 1,354,360,-132,9
2,3,0.0259077,FRAY 1,354,360,-130,6
2,3,0.0259309,FRAY 1,354,360,-128,3
3,3,0.0259541,FRAY 1,354,360,-125,0
3,4,0.0259831,FRAY 1,354,360,-122,-4
3,8,0.0260238,FRAY 1,354,360,-119,-12
5,3,0.0260586,FRAY 1,354,360,-114,-15
3,4,0.0260818,FRAY 1,354,360,-111,-19
3,4,0.026105,FRAY 1,354,360,-108,-23
3,4,0.0261399,FRAY 1,354,360,-105,-27
2,3,0.0261689,FRAY 1,354,360,-103,-30
3,4,0.0261805,FRAY 1,354,360,-100,-34
3,4,0.0262037,FRAY 1,354,360,-97,-38
3,4,0.0262444,FRAY 1,354,360,-94,-42
3,3,0.0262734,FRAY 1,354,360,-91,-45
2,6,0.0263082,FRAY 1,354,360,-89,-51
6,3,0.0263457,FRAY 1,354,360,-83,-54
3,3,0.0263721,FRAY 1,354,360,-80,-57
3,2,0.02641,FRAY 1,354,360,-77,-59
3,6,0.0264417,FRAY 1,354,360,-74,-65
5,3,0.0264591,FRAY 1,354,360,-69,-68
3,3,0.0264882,FRAY 1,354,360,-66,-71
3,2,0.026523,FRAY 1,354,360,-63,-73
3,3,0.026536,FRAY 1,354,360,-60,-76
2,3,0.0265694,FRAY 1,354,360,-58,-79
3,3,0.0265868,FRAY 1,354,360,-55,-82
3,3,0.0266101,FRAY 1,354,360,-52,-85
3,2,0.0266333,FRAY 1,354,360,-49,-87
3,3,0.0266739,FRAY 1,354,360,-46,-90
2,3,0.0267088,FRAY 1,354,360,-44,-93
3,3,0.0267204,FRAY 1,354,360,-41,-96
3,3,0.0267552,FRAY 1,354,360,-38,-99
3,3,0.0267668,FRAY 1,354,360,-35,-102
3,4,0.0267842,FRAY 1,354,360,-32,-106
2,4,0.0268249,FRAY 1,354,360,-30,-110
3,4,0.0268597,FRAY 1,354,360,-27,-114
3,3,0.0268829,FRAY 1,354,360,-24,-117
3,4,0.0269061,FRAY 1,354,360,-21,-121
3,4,0.0269177,FRAY 1,354,360,-18,-125
3,4,0.0269403,FRAY 1,354,360,-15,-129
2,3,0.02697,FRAY 1,354,360,-13,-132
2,4,0.026999,FRAY 1,354,360,-11,-136
2,3,0.0270106,FRAY 1,354,360,-9,-139
2,3,0.0270454,FRAY 1,354,360,-7,-142
1,2,0.0270687,FRAY 1,354,360,-6,-144
1,2,0.0270919,FRAY 1,354,360,-5,-146
1,1,0.0271209,FRAY 1,354,360,-4,-147
1,1,0.0271615,FRAY 1,354,360,-3,-148
2,1,0.0273299,FRAY 1,354,360,-1,-149
2,1,0.0273589,FRAY 1,354,360,1,-150
3,1,0.0273821,FRAY 1,354,360,4,-151
2,1,0.027417,FRAY 1,354,360,6,-152
3,2,0.0274402,FRAY 1,354,360,9,-154
3,2,0.0274576,FRAY 1,354,360,12,-156
3,1,0.0274808,FRAY 1,354,360,15,-157
3,3,0.0275098,FRAY 1,354,360,18,-160
2,3,0.0275389,FRAY 1,354,360,20,-163
3,3,0.0275621,FRAY 1,354,360,23,-166
3,3,0.0276027,FRAY 1,354,360,26,-169
3,3,0.0276085,FRAY 1,354,360,29,-172
3,3,0.0276317,FRAY 1,354,360,32,-175
3,4,0.0276666,FRAY 1,354,360,35,-179
2,4,0.0276956,FRAY 1,354,360,37,-183
3,4,0.0277304,FRAY 1,354,360,40,-187
3,3,0.027742,FRAY 1,354,360,43,-190
3,4,0.0277595,FRAY 1,354,360,46,-194
3,4,0.0277827,FRAY 1,354,360,49,-198
2,4,0.027808,FRAY 1,354,360,51,-202
3,3,0.0278407,FRAY 1,354,360,54,-205
3,4,0.0278724,FRAY 1,354,360,57,-209
3,4,0.0278988,FRAY 1,354,360,60,-213
3,4,0.0279162,FRAY 1,354,360,63,-217
2,3,0.0279394,FRAY 1,354,360,65,-220
3,4,0.0279626,FRAY 1,354,360,68,-224
3,4,0.0279917,FRAY 1,354,360,71,-228
3,4,0.0280265,FRAY 1,354,360,74,-232
3,2,0.0280555,FRAY 1,354,360,77,-234
2,3,0.0280671,FRAY 1,354,360,79,-237
3,4,0.0280961,FRAY 1,354,360,82,-241
3,4,0.0281136,FRAY 1,354,360,85,-245
3,3,0.0281426,FRAY 1,354,360,88,-248
3,4,0.0281774,FRAY 1,354,360,91,-252
3,4,0.0282122,FRAY 1,354,360,94,-256
2,4,0.028218,FRAY 1,354,360,96,-260
3,3,0.0282413,FRAY 1,354,360,99,-263
3,4,0.0282645,FRAY 1,354,360,102,-267
3,4,0.0282877,FRAY 1,354,360,105,-271
3,4,0.0283225,FRAY 1,354,360,108,-275
2,3,0.0283632,FRAY 1,354,360,110,-278
3,3,0.028369,FRAY 1,354,360,113,-281
3,3,0.0283922,FRAY 1,354,360,116,-284
3,3,0.028427,FRAY 1,354,360,119,-287
3,2,0.0284386,FRAY 1,354,360,122,-289
2,2,0.0284677,FRAY 1,354,360,124,-291
3,1,0.0285025,FRAY 1,354,360,127,-292
3,2,0.0285199,FRAY 1,354,360,130,-294
3,2,0.0285431,FRAY 1,354,360,133,-296
3,3,0.028578,FRAY 1,354,360,136,-299
3,3,0.0285954,FRAY 1,354,360,139,-302
2,3,0.0286244,FRAY 1,354,360,141,-305
3,2,0.0286556,FRAY 1,354,360,144,-307
3,3,0.0286708,FRAY 1,354,360,147,-310
3,3,0.0286999,FRAY 1,354,360,150,-313
3,3,0.0287289,FRAY 1,354,360,153,-316
1,3,0.0287637,FRAY 1,354,360,154,-319
2,3,0.0287811,FRAY 1,354,360,156,-322
2,2,0.0287927,FRAY 1,354,360,158,-324
2,3,0.0288243,FRAY 1,354,360,160,-327
2,3,0.0288508,FRAY 1,354,360,162,-330
2,3,0.028874,FRAY 1,354,360,164,-333
2,3,0.028903,FRAY 1,354,360,166,-336
2,2,0.028931,FRAY 1,354,360,168,-338
1,3,0.0289437,FRAY 1,354,360,169,-341
2,3,0.0289785,FRAY 1,354,360,171,-344
2,3,0.0290017,FRAY 1,354,360,173,-347
2,3,0.0290249,FRAY 1,354,360,175,-350
2,2,0.029054,FRAY 1,354,360,177,-352
2,3,0.0290714,FRAY 1,354,360,179,-355
2,3,0.0291004,FRAY 1,354,360,181,-358
2,3,0.0291236,FRAY 1,354,360,183,-361
1,3,0.0291527,FRAY 1,354,360,184,-364
2,3,0.0291759,FRAY 1,354,360,186,-367
2,2,0.0292107,FRAY 1,354,360,188,-369
2,3,0.0292223,FRAY 1,354,360,190,-372
