deltaX,deltaY,WHEN,SYLLABLE,XofButton,YofButton,XofTrace,YofTrace
-1,-1,0.0222157,Yield,0,0,-1,1
-2,-1,0.0222447,Yield,0,0,-3,2
-2,-1,0.0226917,Yield,0,0,-5,3
-2,-1,0.0227265,Yield,0,0,-7,4
-3,-1,0.0227377,Yield,0,0,-10,5
-2,-1,0.0227556,Yield,0,0,-12,6
-2,1,0.0231619,Yield,0,0,-14,5
-3,1,0.0231793,Yield,0,0,-17,4
-2,1,0.02322,Yield,0,0,-19,3
-2,1,0.0232374,Yield,0,0,-21,2
-1,1,0.0237018,Yield,0,0,-22,1
-2,1,0.0237134,Yield,0,0,-24,0
-3,2,0.0237308,Yield,0,0,-27,-2
-3,3,0.0237598,Yield,0,0,-30,-5
-3,3,0.0238005,Yield,0,0,-33,-8
-3,5,0.0238295,Yield,0,0,-36,-13
-5,3,0.0238643,Yield,0,0,-41,-16
-2,3,0.0238933,Yield,0,0,-43,-19
-1,3,0.0239166,Yield,0,0,-44,-22
-1,3,0.0239398,Yield,0,0,-45,-25
-1,5,0.0239804,Yield,0,0,-46,-30
-1,3,0.0240152,Yield,0,0,-47,-33
-1,3,0.0240466,Yield,0,0,-48,-36
-1,3,0.0240791,Yield,0,0,-49,-39
-2,3,0.0241081,Yield,0,0,-51,-42
-5,2,0.0241313,Yield,0,0,-56,-44
-2,1,0.0241564,Yield,0,0,-58,-45
-4,1,0.0241952,Yield,0,0,-62,-46
-1,-2,0.0246538,Yield,0,0,-63,-44
-1,-1,0.0247002,Yield,0,0,-64,-43
-1,-1,0.0250195,Yield,0,0,-65,-42
-1,-1,0.0250543,Yield,0,0,-66,-41
-2,-2,0.0250892,Yield,0,0,-68,-39
-2,-2,0.0251124,Yield,0,0,-70,-37
-2,-2,0.0251356,Yield,0,0,-72,-35
-2,-2,0.0251646,Yield,0,0,-74,-33
-2,-2,0.0251878,Yield,0,0,-76,-31
-1,-1,0.0252111,Yield,0,0,-77,-30
-1,-2,0.0252401,Yield,0,0,-78,-28
-1,-2,0.0252633,Yield,0,0,-79,-26
-1,-2,0.0252865,Yield,0,0,-80,-24
-1,-1,0.0253205,Yield,0,0,-81,-23
-1,-1,0.0253504,Yield,0,0,-82,-22
-1,-1,0.0253562,Yield,0,0,-83,-21
-1,-1,0.0254259,Yield,0,0,-84,-20
-1,-1,0.0254549,Yield,0,0,-85,-19
-1,-1,0.0254723,Yield,0,0,-86,-18
-1,-1,0.0254839,Yield,0,0,-87,-17
-1,1,0.0367049,FRAY 1,301,167,-88,-18
-1,2,0.0367572,FRAY 1,301,167,-89,-20
-1,2,0.0367862,FRAY 1,301,167,-90,-22
1,3,0.036821,FRAY 1,301,167,-89,-25
1,3,0.0368443,FRAY 1,301,167,-88,-28
1,2,0.0368733,FRAY 1,301,167,-87,-30
2,3,0.0368907,FRAY 1,301,167,-85,-33
2,3,0.0369081,FRAY 1,301,167,-83,-36
2,3,0.0369371,FRAY 1,301,167,-81,-39
3,3,0.0369778,FRAY 1,301,167,-78,-42
3,5,0.0370126,FRAY 1,301,167,-75,-47
5,3,0.0370416,FRAY 1,301,167,-70,-50
3,3,0.0370765,FRAY 1,301,167,-67,-53
3,3,0.0371113,FRAY 1,301,167,-64,-56
3,5,0.0371461,FRAY 1,301,167,-61,-61
5,3,0.037181,FRAY 1,301,167,-56,-64
2,4,0.0371984,FRAY 1,301,167,-54,-68
2,4,0.0372274,FRAY 1,301,167,-52,-72
2,3,0.0372622,FRAY 1,301,167,-50,-75
2,8,0.0372912,FRAY 1,301,167,-48,-83
4,4,0.0373261,FRAY 1,301,167,-44,-87
1,3,0.0373493,FRAY 1,301,167,-43,-90
2,4,0.0373783,FRAY 1,301,167,-41,-94
2,4,0.0373899,FRAY 1,301,167,-39,-98
2,4,0.0374248,FRAY 1,301,167,-37,-102
2,2,0.0374422,FRAY 1,301,167,-35,-104
2,3,0.037477,FRAY 1,301,167,-33,-107
2,2,0.0375104,FRAY 1,301,167,-31,-109
2,4,0.0375467,FRAY 1,301,167,-29,-113
3,1,0.0375699,FRAY 1,301,167,-26,-114
3,1,0.0375815,FRAY 1,301,167,-23,-115
3,1,0.0376047,FRAY 1,301,167,-20,-116
3,1,0.0376454,FRAY 1,301,167,-17,-117
3,1,0.0376802,FRAY 1,301,167,-14,-118
5,1,0.0377092,FRAY 1,301,167,-9,-119
3,1,0.0377324,FRAY 1,301,167,-6,-120
3,1,0.0377615,FRAY 1,301,167,-3,-121
3,1,0.0377905,FRAY 1,301,167,0,-122
2,1,0.0378137,FRAY 1,301,167,2,-123
3,1,0.0378311,FRAY 1,301,167,5,-124
3,1,0.0378601,FRAY 1,301,167,8,-125
3,1,0.037895,FRAY 1,301,167,11,-126
3,1,0.0379066,FRAY 1,301,167,14,-127
3,1,0.0381156,FRAY 1,301,167,17,-128
3,1,0.0381504,FRAY 1,301,167,20,-129
3,2,0.0381844,FRAY 1,301,167,23,-131
2,2,0.0382084,FRAY 1,301,167,25,-133
3,3,0.0382433,FRAY 1,301,167,28,-136
6,2,0.0382781,FRAY 1,301,167,34,-138
3,2,0.0382955,FRAY 1,301,167,37,-140
2,2,0.0383245,FRAY 1,301,167,39,-142
3,2,0.038342,FRAY 1,301,167,42,-144
3,2,0.0383884,FRAY 1,301,167,45,-146
3,2,0.0384,FRAY 1,301,167,48,-148
3,1,0.0384232,FRAY 1,301,167,51,-149
3,1,0.0384639,FRAY 1,301,167,54,-150
2,1,0.0384813,FRAY 1,301,167,56,-151
3,1,0.0384987,FRAY 1,301,167,59,-152
3,1,0.0385277,FRAY 1,301,167,62,-153
3,1,0.0385509,FRAY 1,301,167,65,-154
3,1,0.0385741,FRAY 1,301,167,68,-155
2,1,0.0386148,FRAY 1,301,167,70,-156
3,1,0.0386438,FRAY 1,301,167,73,-157
-1,1,0.0388296,FRAY 1,301,167,72,-158
-1,1,0.0388528,FRAY 1,301,167,71,-159
-3,1,0.038876,FRAY 1,301,167,68,-160
-3,3,0.0389166,FRAY 1,301,167,65,-163
-3,3,0.0389399,FRAY 1,301,167,62,-166
-1,3,0.0389515,FRAY 1,301,167,61,-169
-1,3,0.0389863,FRAY 1,301,167,60,-172
-1,3,0.0390037,FRAY 1,301,167,59,-175
2,2,0.0390327,FRAY 1,301,167,61,-177
2,3,0.0390618,FRAY 1,301,167,63,-180
3,3,0.0390966,FRAY 1,301,167,66,-183
3,3,0.0391082,FRAY 1,301,167,69,-186
3,2,0.0391256,FRAY 1,301,167,72,-188
2,2,0.0391605,FRAY 1,301,167,74,-190
3,-1,0.0392824,FRAY 1,301,167,77,-189
2,-1,0.0393114,FRAY 1,301,167,79,-188
3,-2,0.0393404,FRAY 1,301,167,82,-186
3,-4,0.039381,FRAY 1,301,167,85,-182
6,-2,0.0394217,FRAY 1,301,167,91,-180
2,-2,0.0394333,FRAY 1,301,167,93,-178
3,-1,0.0394623,FRAY 1,301,167,96,-177
3,-1,0.039493,FRAY 1,301,167,99,-176
3,1,0.03959,FRAY 1,301,167,102,-177
3,2,0.039619,FRAY 1,301,167,105,-179
6,2,0.0396539,FRAY 1,301,167,111,-181
2,2,0.0396771,FRAY 1,301,167,113,-183
3,2,0.0397003,FRAY 1,301,167,116,-185
3,2,0.0397293,FRAY 1,301,167,119,-187
3,2,0.03977,FRAY 1,301,167,122,-189
3,-1,0.0398571,FRAY 1,301,167,125,-188
3,-1,0.0398803,FRAY 1,301,167,128,-187
3,-1,0.0399151,FRAY 1,301,167,131,-186
3,-1,0.0399209,FRAY 1,301,167,134,-185
2,-1,0.0399557,FRAY 1,301,167,136,-184
3,-1,0.039979,FRAY 1,301,167,139,-183
2,1,0.0400486,FRAY 1,301,167,141,-184
2,1,0.0400718,FRAY 1,301,167,143,-185
1,2,0.0400988,FRAY 1,301,167,144,-187
2,2,0.0401261,FRAY 1,301,167,146,-189
2,2,0.0401647,FRAY 1,301,167,148,-191
2,3,0.0401879,FRAY 1,301,167,150,-194
3,3,0.0402054,FRAY 1,301,167,153,-197
3,3,0.0402286,FRAY 1,301,167,156,-200
