deltaX,deltaY,WHEN,SYLLABLE,XofButton,YofButton,XofTrace,YofTrace
-4,-1,0.00772644,Yield,0,0,-4,1
-4,-4,0.00778449,Yield,0,0,-8,5
-7,-2,0.00781932,Yield,0,0,-15,7
-4,-2,0.00784254,Yield,0,0,-19,9
-4,-3,0.00787737,Yield,0,0,-23,12
-3,-3,0.00788898,Yield,0,0,-26,15
-4,-2,0.00790639,Yield,0,0,-30,17
-4,-3,0.00794122,Yield,0,0,-34,20
-4,-3,0.00797025,Yield,0,0,-38,23
-3,-3,0.00800508,Yield,0,0,-41,26
-4,-5,0.0080341,Yield,0,0,-45,31
-8,-3,0.00808054,Yield,0,0,-53,34
-3,-3,0.00810957,Yield,0,0,-56,37
-4,-6,0.00814204,Yield,0,0,-60,43
-8,-2,0.00817342,Yield,0,0,-68,45
-2,-1,0.00820245,Yield,0,0,-70,46
1,-2,0.00900934,Yield,0,0,-69,48
1,1,0.00915447,Yield,0,0,-68,47
1,2,0.0091893,Yield,0,0,-67,45
1,1,0.00922993,Yield,0,0,-66,44
1,6,0.00925315,Yield,0,0,-65,38
2,3,0.00927637,Yield,0,0,-63,35
2,3,0.0093054,Yield,0,0,-61,32
2,3,0.00934023,Yield,0,0,-59,29
3,1,0.00936925,Yield,0,0,-56,28
2,1,0.00938086,Yield,0,0,-54,27
1,1,0.00941569,Yield,0,0,-53,26
1,1,0.00943311,Yield,0,0,-52,25
1,1,0.00946213,Yield,0,0,-51,24
1,1,0.010182,Yield,0,0,-50,23
1,1,0.0102342,Yield,0,0,-49,22
-1,2,0.0102922,Yield,0,0,-50,20
-1,2,0.0103097,Yield,0,0,-51,18
-1,2,0.0103387,Yield,0,0,-52,16
-1,3,0.0103735,Yield,0,0,-53,13
-1,3,0.0104025,Yield,0,0,-54,10
1,2,0.0104141,Yield,0,0,-53,8
1,4,0.0104432,Yield,0,0,-52,4
1,4,0.010478,Yield,0,0,-51,0
2,4,0.0105012,Yield,0,0,-49,-4
1,3,0.0105244,Yield,0,0,-48,-7
1,1,0.0105709,Yield,0,0,-47,-8
1,1,0.0105883,Yield,0,0,-46,-9
1,1,0.0106522,Yield,0,0,-45,-10
1,-1,0.0143325,FRAY 1,87,416,-44,-9
1,-1,0.0143557,FRAY 1,87,416,-43,-8
1,-1,0.014379,FRAY 1,87,416,-42,-7
1,-1,0.0144022,FRAY 1,87,416,-41,-6
2,-1,0.014437,FRAY 1,87,416,-39,-5
2,-1,0.0144834,FRAY 1,87,416,-37,-4
2,-1,0.0145125,FRAY 1,87,416,-35,-3
2,-1,0.0145415,FRAY 1,87,416,-33,-2
1,-1,0.0148666,FRAY 1,87,416,-32,-1
1,-1,0.014884,FRAY 1,87,416,-31,0
2,-1,0.0149246,FRAY 1,87,416,-29,1
2,-1,0.0149304,FRAY 1,87,416,-27,2
2,1,0.0149885,FRAY 1,87,416,-25,1
3,1,0.0150175,FRAY 1,87,416,-22,0
3,2,0.0150523,FRAY 1,87,416,-19,-2
