deltaX,deltaY,WHEN,SYLLABLE,XofButton,YofButton,XofTrace,YofTrace
1,1,0.0260296,Yield,0,0,1,-1
2,1,0.0260354,Yield,0,0,3,-2
2,1,0.0260586,Yield,0,0,5,-3
2,1,0.0260934,Yield,0,0,7,-4
2,1,0.0261283,Yield,0,0,9,-5
1,1,0.0261341,Yield,0,0,10,-6
2,2,0.0261921,Yield,0,0,12,-8
-2,-1,0.026343,Yield,0,0,10,-7
-3,-2,0.0263779,Yield,0,0,7,-5
-3,-2,0.0263895,Yield,0,0,4,-3
-3,-2,0.0264301,Yield,0,0,1,-1
-4,-2,0.0264359,Yield,0,0,-3,1
-4,-3,0.0264591,Yield,0,0,-7,4
-4,-3,0.026494,Yield,0,0,-11,7
-3,-2,0.026523,Yield,0,0,-14,9
-4,-3,0.0265578,Yield,0,0,-18,12
-4,-3,0.0265636,Yield,0,0,-22,15
-4,-3,0.0265868,Yield,0,0,-26,18
-3,-3,0.0266217,Yield,0,0,-29,21
-4,-1,0.0266507,Yield,0,0,-33,22
-4,-2,0.0266739,Yield,0,0,-37,24
-4,-2,0.0267003,Yield,0,0,-41,26
-3,-2,0.0267204,Yield,0,0,-44,28
-4,-2,0.0267378,Yield,0,0,-48,30
-4,-2,0.0267726,Yield,0,0,-52,32
-4,-2,0.0268016,Yield,0,0,-56,34
-2,-1,0.0268365,Yield,0,0,-58,35
-2,-1,0.0268481,Yield,0,0,-60,36
-2,-1,0.0268771,Yield,0,0,-62,37
1,1,0.0270222,Yield,0,0,-61,36
1,2,0.0270629,Yield,0,0,-60,34
-1,2,0.0270687,Yield,0,0,-61,32
-1,2,0.0270919,Yield,0,0,-62,30
-2,3,0.0271267,Yield,0,0,-64,27
-2,3,0.0271499,Yield,0,0,-66,24
-2,4,0.0271732,Yield,0,0,-68,20
-2,4,0.0272022,Yield,0,0,-70,16
-2,3,0.027237,Yield,0,0,-72,13
-1,4,0.0272428,Yield,0,0,-73,9
-1,4,0.027266,Yield,0,0,-74,5
-1,3,0.0273009,Yield,0,0,-75,2
-1,2,0.0273241,Yield,0,0,-76,0
-1,3,0.0273588,Yield,0,0,-77,-3
-1,2,0.0273879,Yield,0,0,-78,-5
-1,2,0.0273995,Yield,0,0,-79,-7
-1,1,0.027417,Yield,0,0,-80,-8
-1,1,0.027446,Yield,0,0,-81,-9
-2,-1,0.0275331,Yield,0,0,-83,-8
-1,-1,0.0275389,Yield,0,0,-84,-7
-2,-1,0.0275621,Yield,0,0,-86,-6
-1,-1,0.0275969,Yield,0,0,-87,-5
-1,-1,0.0276317,Yield,0,0,-88,-4
-1,-1,0.0276666,Yield,0,0,-89,-3
-3,-1,0.0276956,Yield,0,0,-92,-2
-2,-1,0.0277304,Yield,0,0,-94,-1
-2,-1,0.0277653,Yield,0,0,-96,0
-2,-2,0.0277943,Yield,0,0,-98,2
-6,-1,0.0278349,Yield,0,0,-104,3
-2,-1,0.0278698,Yield,0,0,-106,4
-3,1,0.0279975,Yield,0,0,-109,3
-4,1,0.0280265,Yield,0,0,-113,2
-4,1,0.0280439,Yield,0,0,-117,1
-4,1,0.0280729,Yield,0,0,-121,0
-3,1,0.0280961,Yield,0,0,-124,-1
-4,1,0.028131,Yield,0,0,-128,-2
-4,1,0.0281542,Yield,0,0,-132,-3
-4,1,0.0281774,Yield,0,0,-136,-4
-3,2,0.0281948,Yield,0,0,-139,-6
-4,2,0.0282239,Yield,0,0,-143,-8
-4,2,0.0282529,Yield,0,0,-147,-10
-4,2,0.0282761,Yield,0,0,-151,-12
-3,1,0.0283086,Yield,0,0,-154,-13
-3,1,0.0283341,Yield,0,0,-157,-14
-2,1,0.0283458,Yield,0,0,-159,-15
-1,1,0.0283748,Yield,0,0,-160,-16
2,1,0.0399673,FRAY 1,87,416,-158,-17
3,1,0.0399906,FRAY 1,87,416,-155,-18
1,1,0.0400196,FRAY 1,87,416,-154,-19
2,2,0.0400544,FRAY 1,87,416,-152,-21
2,2,0.0400776,FRAY 1,87,416,-150,-23
1,2,0.0401067,FRAY 1,87,416,-149,-25
1,2,0.0401183,FRAY 1,87,416,-148,-27
1,2,0.0401415,FRAY 1,87,416,-147,-29
1,2,0.0401763,FRAY 1,87,416,-146,-31
-1,3,0.0402054,FRAY 1,87,416,-147,-34
-1,3,0.0402228,FRAY 1,87,416,-148,-37
-1,3,0.040246,FRAY 1,87,416,-149,-40
-1,3,0.0402692,FRAY 1,87,416,-150,-43
-1,3,0.0403098,FRAY 1,87,416,-151,-46
-1,2,0.0403273,FRAY 1,87,416,-152,-48
1,3,0.0403563,FRAY 1,87,416,-151,-51
2,3,0.0403795,FRAY 1,87,416,-149,-54
2,3,0.0404027,FRAY 1,87,416,-147,-57
2,3,0.0404317,FRAY 1,87,416,-145,-60
3,3,0.0404608,FRAY 1,87,416,-142,-63
3,4,0.0405014,FRAY 1,87,416,-139,-67
2,4,0.040513,FRAY 1,87,416,-137,-71
3,4,0.0405246,FRAY 1,87,416,-134,-75
3,3,0.0405478,FRAY 1,87,416,-131,-78
3,4,0.0405769,FRAY 1,87,416,-128,-82
