dX,dY,WHEN,SYLLABLE,X,Y,cX,cY
0,-1,0.0346558,Yield,0,0,0,1
-1,-1,0.0346848,Yield,0,0,-1,2
-1,-2,0.034708,Yield,0,0,-2,4
-2,-2,0.0347487,Yield,0,0,-4,6
-1,-3,0.0347487,Yield,0,0,-5,9
-3,-3,0.0347777,Yield,0,0,-8,12
-3,-2,0.0348067,Yield,0,0,-11,14
-3,-3,0.0348299,Yield,0,0,-14,17
-4,-3,0.0348648,Yield,0,0,-18,20
-3,-3,0.0348938,Yield,0,0,-21,23
-4,-2,0.0349054,Yield,0,0,-25,25
-4,1,0.0349576,Yield,0,0,-29,24
-3,1,0.0349925,Yield,0,0,-32,23
-4,2,0.0349983,Yield,0,0,-36,21
-4,2,0.0350215,Yield,0,0,-40,19
-4,2,0.0350563,Yield,0,0,-44,17
-3,2,0.0350737,Yield,0,0,-47,15
-4,2,0.0351028,Yield,0,0,-51,13
-4,3,0.0351202,Yield,0,0,-55,10
-4,4,0.0351434,Yield,0,0,-59,6
-3,4,0.0351763,Yield,0,0,-62,2
-4,4,0.0352015,Yield,0,0,-66,-2
-4,3,0.0352305,Yield,0,0,-70,-5
-4,4,0.0352421,Yield,0,0,-74,-9
-3,4,0.0352595,Yield,0,0,-77,-13
-4,4,0.0352943,Yield,0,0,-81,-17
-4,3,0.0353234,Yield,0,0,-85,-20
-4,4,0.0353524,Yield,0,0,-89,-24
-3,4,0.035364,Yield,0,0,-92,-28
-4,4,0.035393,Yield,0,0,-96,-32
-4,3,0.0354104,Yield,0,0,-100,-35
-4,4,0.0354453,Yield,0,0,-104,-39
-3,4,0.0354769,Yield,0,0,-107,-43
-4,4,0.0355091,Yield,0,0,-111,-47
-4,3,0.0355207,Yield,0,0,-115,-50
-4,3,0.0355427,Yield,0,0,-119,-53
-3,3,0.035573,Yield,0,0,-122,-56
-4,3,0.0356078,Yield,0,0,-126,-59
-4,2,0.0356136,Yield,0,0,-130,-61
-4,1,0.0356484,Yield,0,0,-134,-62
-3,2,0.0356775,Yield,0,0,-137,-64
-4,1,0.0356949,Yield,0,0,-141,-65
-4,1,0.0357239,Yield,0,0,-145,-66
-4,1,0.0357413,Yield,0,0,-149,-67
-3,1,0.0357645,Yield,0,0,-152,-68
-4,-1,0.0358922,Yield,0,0,-156,-67
-4,-1,0.0359271,Yield,0,0,-160,-66
-3,-1,0.0359584,Yield,0,0,-163,-65
-4,-3,0.0359967,Yield,0,0,-167,-62
-8,-2,0.0360316,Yield,0,0,-175,-60
-3,-2,0.0360606,Yield,0,0,-178,-58
-4,-6,0.0360954,Yield,0,0,-182,-52
-8,-3,0.0361244,Yield,0,0,-190,-49
-3,-2,0.0361477,Yield,0,0,-193,-47
-2,-3,0.0361767,Yield,0,0,-195,-44
-2,-3,0.0362057,Yield,0,0,-197,-41
-2,-3,0.0362231,Yield,0,0,-199,-38
-1,-2,0.0362463,Yield,0,0,-200,-36
-1,-2,0.0362754,Yield,0,0,-201,-34
1,-2,0.036316,Yield,0,0,-200,-32
1,-1,0.036345,Yield,0,0,-199,-31
2,-2,0.0363624,Yield,0,0,-197,-29
2,-2,0.0363741,Yield,0,0,-195,-27
1,-2,0.0363973,Yield,0,0,-194,-25
2,-2,0.0364263,Yield,0,0,-192,-23
3,-2,0.0364611,Yield,0,0,-189,-21
3,-2,0.0364902,Yield,0,0,-186,-19
3,-2,0.0365018,Yield,0,0,-183,-17
3,-1,0.036525,Yield,0,0,-180,-16
2,-2,0.0365598,Yield,0,0,-178,-14
3,-2,0.036583,Yield,0,0,-175,-12
2,-2,0.0366121,Yield,0,0,-173,-10
2,-2,0.0366469,Yield,0,0,-171,-8
2,-1,0.0366527,Yield,0,0,-169,-7
2,-1,0.0366759,Yield,0,0,-167,-6
2,-1,0.0367107,Yield,0,0,-165,-5
3,1,0.0367746,Yield,0,0,-162,-6
3,1,0.0368036,Yield,0,0,-159,-7
3,1,0.0368268,Yield,0,0,-156,-8
2,2,0.0368617,Yield,0,0,-154,-10
3,2,0.0368791,Yield,0,0,-151,-12
3,2,0.0369023,Yield,0,0,-148,-14
3,2,0.0369255,Yield,0,0,-145,-16
3,1,0.0369546,Yield,0,0,-142,-17
2,2,0.037001,Yield,0,0,-140,-19
3,2,0.0370184,Yield,0,0,-137,-21
3,2,0.03703,Yield,0,0,-134,-23
3,1,0.0370649,Yield,0,0,-131,-24
2,1,0.0370765,Yield,0,0,-129,-25
1,-1,0.0371577,Yield,0,0,-128,-24
-1,-1,0.0372042,Yield,0,0,-129,-23
-1,-2,0.0372274,Yield,0,0,-130,-21
-1,-2,0.0372332,Yield,0,0,-131,-19
-1,-3,0.037268,Yield,0,0,-132,-16
-1,-2,0.0372912,Yield,0,0,-133,-14
1,-3,0.0373145,Yield,0,0,-132,-11
1,-3,0.0373493,Yield,0,0,-131,-8
1,-3,0.0373783,Yield,0,0,-130,-5
1,-3,0.0373899,Yield,0,0,-129,-2
1,-2,0.037419,Yield,0,0,-128,0
2,-3,0.0374364,Yield,0,0,-126,3
